complexity,loss,equation,score,sympy_format,lambda_format,restored_equation
1,11738.093,x17,0.0,x17,PySRFunction(X=>x17),(C_eth * t)
2,3948.237,exp(x2),1.0895702149253126,exp(x2),PySRFunction(X=>exp(x2)),exp((sqrt(t)))
3,495.62003,x4 * 11.944043,2.075214864550672,x4*11.944043,PySRFunction(X=>x4*11.944043),(t - sqrt(t)) * 11.944043
5,394.59677,x23 * (x4 * 8.003702),0.1139725782726899,x23*x4*8.003702,PySRFunction(X=>x23*x4*8.003702),(sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997)) * ((t - sqrt(t)) * 8.003702)
6,389.3285,x4 * (exp(x23) * 2.6737893),0.0134409477912634,x4*exp(x23)*2.6737893,PySRFunction(X=>x4*exp(x23)*2.6737893),(t - sqrt(t)) * (exp((sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997))) * 2.6737893)
7,255.98999,x4 * ((x0 + x23) * 9.251675),0.4192851181068655,x4*(x0 + x23)*9.251675,PySRFunction(X=>x4*(x0 + x23)*9.251675),(t - sqrt(t)) * (((C_pg * C_eth * -5.6564804e-5 * C_eth) + (sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997))) * 9.251675)
9,250.80771,((x0 + x23) * (x9 - -8.653804)) * x4,0.0102258961197654,x4*(x0 + x23)*(x9 - 1*(-8.653804)),PySRFunction(X=>x4*(x0 + x23)*(x9 - 1*(-8.653804))),(((C_pg * C_eth * -5.6564804e-5 * C_eth) + (sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997))) * ((C_pg / C_pol) - -8.653804)) * (t - sqrt(t))
10,250.65666,((square(x9) - -8.871329) * x4) * (x23 + x0),0.0006024356409144,x4*(x0 + x23)*(x9**2 - 1*(-8.871329)),PySRFunction(X=>x4*(x0 + x23)*(x9**2 - 1*(-8.871329))),((square((C_pg / C_pol)) - -8.871329) * (t - sqrt(t))) * ((sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997)) + (C_pg * C_eth * -5.6564804e-5 * C_eth))
11,217.32126,(x4 * -0.20549566) * (((x23 * x1) * -52.75759) - x19),0.1427073947039048,x4*(-0.20549566)*(x23*x1*(-52.75759) - x19),PySRFunction(X=>x4*(-0.20549566)*(x23*x1*(-52.75759) - x19)),((t - sqrt(t)) * -0.20549566) * ((((sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997)) * (exp(C_pg * C_eth * -5.6564804e-5 * C_eth))) * -52.75759) - (inv(C_pg * C_eth * -5.6564804e-5 * C_eth)))
12,149.24533,x4 * (square(x1 * x23) * ((0.2568888 / x0) - -9.653625)),0.3757852575672948,x4*(x1**2*x23**2)*(-1*(-9.653625) + 0.2568888/x0),PySRFunction(X=>x4*(x1**2*x23**2)*(-1*(-9.653625) + 0.2568888/x0)),(t - sqrt(t)) * (square((exp(C_pg * C_eth * -5.6564804e-5 * C_eth)) * (sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997))) * ((0.2568888 / (C_pg * C_eth * -5.6564804e-5 * C_eth)) - -9.653625))
