complexity,loss,equation,score,sympy_format,lambda_format,restored_equation
1,10888.009,x12,0.0,x12,PySRFunction(X=>x12),(C_eth * log(t))
2,3948.237,exp(x2),1.0143929417822932,exp(x2),PySRFunction(X=>exp(x2)),exp((sqrt(t)))
3,495.62003,x4 * 11.944043,2.075214864550672,x4*11.944043,PySRFunction(X=>x4*11.944043),(t - sqrt(t)) * 11.944043
5,394.59674,(x19 * 8.003833) * x4,0.1139726162861804,x19*8.003833*x4,PySRFunction(X=>x19*8.003833*x4),((sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997)) * 8.003833) * (t - sqrt(t))
6,389.3285,(x4 * exp(x19)) * 2.6738033,0.0134408717642824,x4*exp(x19)*2.6738033,PySRFunction(X=>x4*exp(x19)*2.6738033),((t - sqrt(t)) * exp((sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997)))) * 2.6738033
7,255.98999,x4 * ((x0 + x19) * 9.251706),0.4192851181068655,x4*(x0 + x19)*9.251706,PySRFunction(X=>x4*(x0 + x19)*9.251706),(t - sqrt(t)) * (((C_pg * C_eth * -5.6564804e-5 * C_eth) + (sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997))) * 9.251706)
9,250.54318,x4 * (x16 - ((x19 + x0) * -9.341443)),0.0107535306165311,x4*(x16 - (-9.341443)*(x0 + x19)),PySRFunction(X=>x4*(x16 - (-9.341443)*(x0 + x19))),(t - sqrt(t)) * ((inv(C_eth - 15.084822) / C_pol) - (((sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997)) + (C_pg * C_eth * -5.6564804e-5 * C_eth)) * -9.341443))
10,223.01123,(x10 * ((square(x0) * -9.768367) + 5.676786)) * x4,0.1164091519829597,x10*x4*(5.676786 + x0**2*(-9.768367)),PySRFunction(X=>x10*x4*(5.676786 + x0**2*(-9.768367))),((inv(C_eth - 15.084822) / C_pol - -2.4267037) * ((square((C_pg * C_eth * -5.6564804e-5 * C_eth)) * -9.768367) + 5.676786)) * (t - sqrt(t))
11,190.10895,((x0 * 17.100761) + ((x19 - x1) * 10.761446)) * x20,0.1596248000664663,x20*(x0*17.100761 + (-x1 + x19)*10.761446),PySRFunction(X=>x20*(x0*17.100761 + (-x1 + x19)*10.761446)),(((C_pg * C_eth * -5.6564804e-5 * C_eth) * 17.100761) + (((sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997)) - (inv(C_pg * C_eth) * 50.729774)) * 10.761446)) * (exp(log(t)) - C_pg / C_eth)
13,154.55121,x10 * (((x0 * 9.976457) + (8.360382 - (-0.179322 / x0))) * x4),0.103535915570558,x10*x4*(x0*9.976457 + 8.360382 - (-1)*0.179322/x0),PySRFunction(X=>x10*x4*(x0*9.976457 + 8.360382 - (-1)*0.179322/x0)),(inv(C_eth - 15.084822) / C_pol - -2.4267037) * ((((C_pg * C_eth * -5.6564804e-5 * C_eth) * 9.976457) + (8.360382 - (-0.179322 / (C_pg * C_eth * -5.6564804e-5 * C_eth)))) * (t - sqrt(t)))
