complexity,loss,equation,score,sympy_format,lambda_format
1,11738.093,x17,0.0,x17,PySRFunction(X=>x17)
2,3948.237,exp(x2),1.0895702149253126,exp(x2),PySRFunction(X=>exp(x2))
3,495.62003,x4 * 11.944043,2.075214864550672,x4*11.944043,PySRFunction(X=>x4*11.944043)
5,394.59677,x23 * (x4 * 8.003702),0.11397257827268992,x23*x4*8.003702,PySRFunction(X=>x23*x4*8.003702)
6,389.3285,x4 * (exp(x23) * 2.6737893),0.013440947791263433,x4*exp(x23)*2.6737893,PySRFunction(X=>x4*exp(x23)*2.6737893)
7,255.98999,x4 * ((x0 + x23) * 9.251675),0.4192851181068655,x4*(x0 + x23)*9.251675,PySRFunction(X=>x4*(x0 + x23)*9.251675)
9,250.80771,((x0 + x23) * (x9 - -8.653804)) * x4,0.01022589611976541,x4*(x0 + x23)*(x9 - 1*(-8.653804)),PySRFunction(X=>x4*(x0 + x23)*(x9 - 1*(-8.653804)))
10,250.65666,((square(x9) - -8.871329) * x4) * (x23 + x0),0.0006024356409144331,x4*(x0 + x23)*(x9**2 - 1*(-8.871329)),PySRFunction(X=>x4*(x0 + x23)*(x9**2 - 1*(-8.871329)))
11,217.32126,(x4 * -0.20549566) * (((x23 * x1) * -52.75759) - x19),0.14270739470390487,x4*(-0.20549566)*(x23*x1*(-52.75759) - x19),PySRFunction(X=>x4*(-0.20549566)*(x23*x1*(-52.75759) - x19))
12,149.24533,x4 * (square(x1 * x23) * ((0.2568888 / x0) - -9.653625)),0.37578525756729486,x4*(x1**2*x23**2)*(-1*(-9.653625) + 0.2568888/x0),PySRFunction(X=>x4*(x1**2*x23**2)*(-1*(-9.653625) + 0.2568888/x0))
14,143.08727,x4 * ((square(x23 * x1) * ((0.23493424 / x0) - -9.108971)) + x9),0.0210683690828416,x4*(x9 + (x1**2*x23**2)*(-1*(-9.108971) + 0.23493424/x0)),PySRFunction(X=>x4*(x9 + (x1**2*x23**2)*(-1*(-9.108971) + 0.23493424/x0)))
15,143.08725,x4 * ((square(x23 * x1) * ((0.23493424 / log(x1)) - -9.108971)) + x9),1.3977484769465788e-07,x4*(x1**2*x23**2*(9.108971 + 0.23493424/log(x1)) + x9),PySRFunction(X=>x4*(x1**2*x23**2*(9.108971 + 0.23493424/log(x1)) + x9))
16,141.41644,(x4 * ((square(x23 * x1) * ((0.23232354 / x0) - -9.024145)) + x9)) + 1.8431432,0.011745571443980033,x4*(x9 + (x1**2*x23**2)*(-1*(-9.024145) + 0.23232354/x0)) + 1.8431432,PySRFunction(X=>x4*(x9 + (x1**2*x23**2)*(-1*(-9.024145) + 0.23232354/x0)) + 1.8431432)
17,139.81943,x4 * (square(x9) + ((6.9493556 - (-0.18609412 / x0)) * (exp(x1 * x23) - 1.3883458))),0.01135720821089531,x4*(x9**2 + (6.9493556 - (-1)*0.18609412/x0)*(exp(x1*x23) - 1*1.3883458)),PySRFunction(X=>x4*(x9**2 + (6.9493556 - (-1)*0.18609412/x0)*(exp(x1*x23) - 1*1.3883458)))
18,135.66591,x4 * (square(square(x9)) + ((7.0097957 - (-0.187574 / x0)) * (exp(x23 * x1) - 1.371996))),0.030156485042171083,x4*(x9**4 + (7.0097957 - (-1)*0.187574/x0)*(exp(x1*x23) - 1*1.371996)),PySRFunction(X=>x4*(x9**4 + (7.0097957 - (-1)*0.187574/x0)*(exp(x1*x23) - 1*1.371996)))
19,95.53055,(((23.171562 - x19) * -0.43580917) + ((x1 * (x23 * 20.519032)) - (0.06086796 / (x9 + -0.36707586)))) * x4,0.35074922774429973,x4*(x1*x23*20.519032 + (23.171562 - x19)*(-0.43580917) - 0.06086796/(x9 - 0.36707586)),PySRFunction(X=>x4*(x1*x23*20.519032 + (23.171562 - x19)*(-0.43580917) - 0.06086796/(x9 - 0.36707586)))
20,93.775505,x4 * (((x23 * 20.522705) * x1) + (((18.96098 - inv(x0)) - (x0 / (x9 + -0.36235258))) * -0.5026944)),0.018542410434998574,x4*(x23*20.522705*x1 + (-x0/(x9 - 0.36235258) + 18.96098 - 1/x0)*(-0.5026944)),PySRFunction(X=>x4*(x23*20.522705*x1 + (-x0/(x9 - 0.36235258) + 18.96098 - 1/x0)*(-0.5026944)))
21,92.64828,x4 * (((((25.358427 - x19) * -0.44790664) + x9) + ((x1 * x23) * 21.068604)) - (0.058475237 / (x9 + -0.36150655))),0.012093293115025546,x4*(x1*x23*21.068604 + x9 + (25.358427 - x19)*(-0.44790664) - 0.058475237/(x9 - 0.36150655)),PySRFunction(X=>x4*(x1*x23*21.068604 + x9 + (25.358427 - x19)*(-0.44790664) - 0.058475237/(x9 - 0.36150655)))
22,90.5828,(((((x1 * x23) * 21.332262) - (0.05714331 / (x9 + -0.36054945))) + square(x9)) + ((25.17956 - x19) * -0.45433503)) * x4,0.022546038517643436,x4*(x1*x23*21.332262 + x9**2 + (25.17956 - x19)*(-0.45433503) - 0.05714331/(x9 - 0.36054945)),PySRFunction(X=>x4*(x1*x23*21.332262 + x9**2 + (25.17956 - x19)*(-0.45433503) - 0.05714331/(x9 - 0.36054945)))
23,86.5439,((((x1 * (x23 * 21.496956)) + square(square(x9))) + ((24.95806 - x19) * -0.45710057)) - (0.058019083 / (x9 + -0.36254966))) * x4,0.04561254990458802,x4*(x1*x23*21.496956 + x9**4 + (24.95806 - x19)*(-0.45710057) - 0.058019083/(x9 - 0.36254966)),PySRFunction(X=>x4*(x1*x23*21.496956 + x9**4 + (24.95806 - x19)*(-0.45710057) - 0.058019083/(x9 - 0.36254966)))
24,81.05297,((x23 * (square(square(square(x9))) + (x1 * 21.869354))) + (((25.131811 - x19) * -0.46600994) - (0.059051823 / (x9 + -0.36420465)))) * x4,0.06554890808960565,x4*(x23*(x1*21.869354 + x9**8) + (25.131811 - x19)*(-0.46600994) - 0.059051823/(x9 - 0.36420465)),PySRFunction(X=>x4*(x23*(x1*21.869354 + x9**8) + (25.131811 - x19)*(-0.46600994) - 0.059051823/(x9 - 0.36420465)))
25,80.07313,((x23 * (square(square(square(square(x9)))) + (x1 * 21.88246))) + (((24.859125 - x19) * -0.4682106) - (0.060221486 / (x9 + -0.36555007)))) * x4,0.012162549441121868,x4*(x23*(x1*21.88246 + x9**16) + (24.859125 - x19)*(-0.4682106) - 0.060221486/(x9 - 0.36555007)),PySRFunction(X=>x4*(x23*(x1*21.88246 + x9**16) + (24.859125 - x19)*(-0.4682106) - 0.060221486/(x9 - 0.36555007)))
