iter,best_raw,best_pen
1,2.4829977218699706,2.4829977218699706
2,2.4829977218699706,2.4829977218699706
3,2.4829977218699706,2.4829977218699706
4,2.487486988984027,2.487486988984027
5,2.487486988984027,2.487486988984027
6,2.487486988984027,2.487486988984027
7,2.487486988984027,2.487486988984027
8,2.487486988984027,2.487486988984027
9,2.487486988984027,2.487486988984027
10,2.487486988984027,2.487486988984027
11,2.4874952159765127,2.4874952159765127
12,2.4874952159765127,2.4874952159765127
13,2.4874952159765127,2.4874952159765127
14,2.4874952159765127,2.4874952159765127
15,2.4874952159765127,2.4874952159765127
16,2.4874952159765127,2.4874952159765127
17,2.4874952159765127,2.4874952159765127
18,2.4874952159765127,2.4874952159765127
19,2.4874956873989715,2.4874956873989715
20,2.4874956873989715,2.4874956873989715
21,2.4874956873989715,2.4874956873989715
22,2.4874956873989715,2.4874956873989715
23,2.4874956873989715,2.4874956873989715
24,2.4874956873989715,2.4874956873989715
25,2.4874956873989715,2.4874956873989715
26,2.4874956873989715,2.4874956873989715
27,2.4874956873989715,2.4874956873989715
28,2.4874956873989715,2.4874956873989715
29,2.4874956873989715,2.4874956873989715
30,2.4874956873989715,2.4874956873989715
31,2.4874956873989715,2.4874956873989715
32,2.4874956873989715,2.4874956873989715
33,2.4874956873989715,2.4874956873989715
34,2.4874956873989715,2.4874956873989715
35,2.4874956873989715,2.4874956873989715
36,2.4874956873989715,2.4874956873989715
37,2.4874956873989715,2.4874956873989715
38,2.4874956873989715,2.4874956873989715
39,2.4874956873989715,2.4874956873989715
40,2.4874956873989715,2.4874956873989715
41,2.4874956873989715,2.4874956873989715
42,2.4874956875184617,2.4874956875184617
43,2.4874956875184617,2.4874956875184617
44,2.4874956875184617,2.4874956875184617
45,2.4874956875184617,2.4874956875184617
46,2.4874956875184617,2.4874956875184617
47,2.4874956875184617,2.4874956875184617
48,2.4874956875184617,2.4874956875184617
49,2.4874956875184617,2.4874956875184617
50,2.4874956875184617,2.4874956875184617
51,2.4874956875184617,2.4874956875184617
52,2.4874956875184617,2.4874956875184617
53,2.4874956875184617,2.4874956875184617
54,2.4874956875184617,2.4874956875184617
55,2.4874956875184617,2.4874956875184617
56,2.4874956875184617,2.4874956875184617
57,2.4874956875209016,2.4874956875209016
58,2.4874956875209016,2.4874956875209016
59,2.4874956875209016,2.4874956875209016
60,2.4874956875209016,2.4874956875209016
