complexity,loss,equation,score,sympy_format,lambda_format,restored_equation,restored_complexity,ops_only_complexity
2,3948.237,exp(x19),1.0143929417822932,exp(x19),PySRFunction(X=>exp(x19)),exp((sqrt(t))),3,2
5,485.62988,(x17 * 11.77437) + x12,0.0085000194112688,x12 + x17*11.77437,PySRFunction(X=>x12 + x17*11.77437),((t - sqrt(t)) * 11.77437) + (exp(C_pg / C_eth)),13,7
6,438.1658,x0 * (63.809753 / log(x2)),0.1028493924159804,63.809753*x0/log(x2),PySRFunction(X=>63.809753*x0/log(x2)),(t - sqrt(t) + exp(-t)) * (63.809753 / log((C_pg * C_eth))),16,10
7,394.0322,x0 * ((x2 * -0.011395627) - -14.494933),0.1061647457146103,x0*(x2*(-0.011395627) - 1*(-14.494933)),PySRFunction(X=>x0*(x2*(-0.011395627) - 1*(-14.494933))),(t - sqrt(t) + exp(-t)) * (((C_pg * C_eth) * -0.011395627) - -14.494933),17,10
8,374.771,x0 * ((square(x2) * -2.5378868e-5) - -13.333137),0.0501174590759683,x0*(x2**2*(-2.5378868e-5) - 1*(-13.333137)),PySRFunction(X=>x0*(x2**2*(-2.5378868e-5) - 1*(-13.333137))),(t - sqrt(t) + exp(-t)) * ((square((C_pg * C_eth)) * -2.5378868e-5) - -13.333137),18,11
12,329.05692,(((-3854.2861 / x2) + -83.033714) + (609.0649 / log(x2))) * x0,0.0157607246227498,x0*(-83.033714 + 609.0649/log(x2) - 3854.2861/x2),PySRFunction(X=>x0*(-83.033714 + 609.0649/log(x2) - 3854.2861/x2)),(((-3854.2861 / (C_pg * C_eth)) + -83.033714) + (609.0649 / log((C_pg * C_eth)))) * (t - sqrt(t) + exp(-t)),24,14
15,306.51074,x0 * ((((x12 * 61.916622) + -1098.4789) / x2) + ((x10 * -0.030869292) + 23.319893)),0.0119934038431552,x0*(x10*(-0.030869292) + 23.319893 + (x12*61.916622 - 1098.4789)/x2),PySRFunction(X=>x0*(x10*(-0.030869292) + 23.319893 + (x12*61.916622 - 1098.4789)/x2)),(t - sqrt(t) + exp(-t)) * (((((exp(C_pg / C_eth)) * 61.916622) + -1098.4789) / (C_pg * C_eth)) + (((inv(inv(C_pg * C_eth))) * -0.030869292) + 23.319893)),32,19
19,305.52264,((x17 * (((x10 * -0.030954387) + 23.240248) + (((x12 * 72.41551) + -1132.9036) / x2))) + 5.026804) - x12,0.0011380566513653,-x12 + x17*(x10*(-0.030954387) + 23.240248 + (x12*72.41551 - 1132.9036)/x2) + 5.026804,PySRFunction(X=>-x12 + x17*(x10*(-0.030954387) + 23.240248 + (x12*72.41551 - 1132.9036)/x2) + 5.026804),(((t - sqrt(t)) * ((((inv(inv(C_pg * C_eth))) * -0.030954387) + 23.240248) + ((((exp(C_pg / C_eth)) * 72.41551) + -1132.9036) / (C_pg * C_eth)))) + 5.026804) - (exp(C_pg / C_eth)),34,21
