,MI,Lasso
C_pol,0.0,0.0
C_eth,0.0,0.0
C_pg,0.0,0.0
t,1.6425390815643448,60.708177488404935
sqrt(t),1.640581109322549,0.0
log(t),1.6266052908176043,0.0
1/t,1.6174177999549875,0.0
exp(-t),1.2783038950522323,0.0
1-exp(-t),1.2776363867055733,0.0
C_pg * C_eth,0.0,11.305027486933833
C_pg * C_pol,0.0,0.0
C_eth * C_pol,0.0,0.0
C_pg / C_pol,0.0,0.0
C_pg / C_eth,0.0,0.0
C_eth / C_pol,0.0,0.0
C_pg^2,0.0,0.0
C_eth^2,0.0,0.0
C_pol^2,0.0,0.0
C_pg * log(t),1.1810892822844172,0.0
C_pg * log(t),1.168078874079176,2.528245186793405
C_eth * log(t),1.3396054852871,0.0
C_pg * log(t),1.3039468927924025,0.0
C_eth * t,1.3826812791107597,0.0
C_pg * t,1.4105614352419624,1.4264442583739103
log(C_pg / C_eth),0.0,0.0
sqrt(C_pg / C_eth),0.0,0.0
t - sqrt(t),1.6425390815643448,33.268864963933275
exp(C_pg / C_eth),0.0,1.99979623476435
C_pg * -0.3741939,0.0,0.0
C_pg * -0.37614924,0.0,0.0
t - sqrt(t) + exp(-t),1.6425390815643448,12.273262082268692
log(C_pg * C_eth),0.0,0.0
inv(C_pg * C_eth),0.0,6.296769403519458
