complexity,loss,equation,score,sympy_format,lambda_format
1,10888.009,x4,0.0,x4,PySRFunction(X=>x4)
2,3948.237,exp(x16),1.0143929417822932,exp(x16),PySRFunction(X=>exp(x16))
3,493.95618,x3 * 11.942671,2.0785776203467483,x3*11.942671,PySRFunction(X=>x3*11.942671)
4,493.95615,sqrt(142.62398) * x3,6.073413423425657e-08,11.9425282080471*x3,PySRFunction(X=>11.9425282080471*x3)
5,467.4221,x3 / (0.08862481 - x14),0.05521404423766556,x3/(0.08862481 - x14),PySRFunction(X=>x3/(0.08862481 - x14))
6,434.78207,x3 * (15.817514 - sqrt(x7)),0.07238778678194334,x3*(15.817514 - sqrt(x7)),PySRFunction(X=>x3*(15.817514 - sqrt(x7)))
7,394.03217,x3 * ((x0 * -0.011395614) + 14.494929),0.09841236133529781,x3*(14.494929 + x0*(-0.011395614)),PySRFunction(X=>x3*(14.494929 + x0*(-0.011395614)))
8,374.771,((square(x0) * -2.5379335e-5) + 13.333188) * x3,0.050117382940055744,x3*(13.333188 + x0**2*(-2.5379335e-5)),PySRFunction(X=>x3*(13.333188 + x0**2*(-2.5379335e-5)))
10,364.7693,x3 * (((x7 * square(x0)) * -1.2881218e-6) + 13.104152),0.013525036906889845,x3*(x7*x0**2*(-1.2881218e-6) + 13.104152),PySRFunction(X=>x3*(x7*x0**2*(-1.2881218e-6) + 13.104152))
11,334.3437,x3 * ((x14 * -959.8162) + ((x0 * -0.032356147) + 23.907995)),0.08709559316494996,x3*(x0*(-0.032356147) + x14*(-959.8162) + 23.907995),PySRFunction(X=>x3*(x0*(-0.032356147) + x14*(-959.8162) + 23.907995))
12,334.29272,x3 * ((((x0 * 3.3980235e-5) + exp(x14)) * -947.751) + 971.5784),0.00015248945039165746,x3*(971.5784 + (x0*3.3980235e-5 + exp(x14))*(-947.751)),PySRFunction(X=>x3*(971.5784 + (x0*3.3980235e-5 + exp(x14))*(-947.751)))
13,328.38522,x6 + (x13 * (((x14 * -953.64624) + 23.65839) + (x0 * -0.032127988))),0.01782964586645583,x13*(x0*(-0.032127988) + x14*(-953.64624) + 23.65839) + x6,PySRFunction(X=>x13*(x0*(-0.032127988) + x14*(-953.64624) + 23.65839) + x6)
14,310.29907,x3 * (sqrt(x6) + (((x14 * -951.54474) + (x0 * -0.031826075)) + 22.03592)),0.05665079612507266,x3*(-0.031826075*x0 - 951.54474*x14 + sqrt(x6) + 22.03592),PySRFunction(X=>x3*(-0.031826075*x0 - 951.54474*x14 + sqrt(x6) + 22.03592))
16,308.65228,((970.2629 - (x6 / -3.2137504)) + (((x0 * 3.3441233e-5) + exp(x14)) * -947.5015)) * x3,0.0026606192648515664,x3*(-x6/(-3.2137504) + (x0*3.3441233e-5 + exp(x14))*(-947.5015) + 970.2629),PySRFunction(X=>x3*(-x6/(-3.2137504) + (x0*3.3441233e-5 + exp(x14))*(-947.5015) + 970.2629))
17,307.45184,(((((inv(x14) * -0.010994419) + (333.29065 / exp(x14))) + -329.05957) * x6) + 11.489706) * x3,0.003896878726027131,x3*(x6*(-329.05957 + 333.29065/exp(x14) - 0.010994419/x14) + 11.489706),PySRFunction(X=>x3*(x6*(-329.05957 + 333.29065/exp(x14) - 0.010994419/x14) + 11.489706))
19,307.06372,(((x6 * ((335.18906 / exp(x14)) + ((inv(x14) * -0.011036895) + -330.9398))) + 11.32331) * x3) + x8,0.0006315870205260844,x3*(x6*(-330.9398 + 335.18906/exp(x14) - 0.011036895/x14) + 11.32331) + x8,PySRFunction(X=>x3*(x6*(-330.9398 + 335.18906/exp(x14) - 0.011036895/x14) + 11.32331) + x8)
