complexity,loss,equation,score,sympy_format,lambda_format
1,10888.009,x4,0.0,x4,PySRFunction(X=>x4)
2,3948.237,exp(x15),1.0143929417822932,exp(x15),PySRFunction(X=>exp(x15))
3,493.95618,x3 * 11.942547,2.0785776203467483,x3*11.942547,PySRFunction(X=>x3*11.942547)
5,485.62988,(x13 * 11.774587) + x6,0.008500019411268829,x13*11.774587 + x6,PySRFunction(X=>x13*11.774587 + x6)
6,442.74097,x3 * (17.307146 - log(x0)),0.09246188877943108,x3*(17.307146 - log(x0)),PySRFunction(X=>x3*(17.307146 - log(x0)))
7,394.0322,x3 * ((x0 * -0.011395615) + 14.494929),0.11655224935115967,x3*(14.494929 + x0*(-0.011395615)),PySRFunction(X=>x3*(14.494929 + x0*(-0.011395615)))
9,363.9783,x3 * ((x6 + 13.557949) + (x16 * -0.3140663)),0.039669190685911286,x3*(x16*(-0.3140663) + x6 + 13.557949),PySRFunction(X=>x3*(x16*(-0.3140663) + x6 + 13.557949))
11,355.63385,x3 * (x6 + (((x16 * x16) * -0.010709551) + 11.380359)),0.0115962800698043,x3*(x16*x16*(-0.010709551) + x6 + 11.380359),PySRFunction(X=>x3*(x16*x16*(-0.010709551) + x6 + 11.380359))
12,334.34384,(((inv(x0) * -959.7808) + (x0 * -0.03235545)) - -23.907686) * x3,0.06173176581256928,x3*(x0*(-0.03235545) - 1*(-23.907686) - 959.7808/x0),PySRFunction(X=>x3*(x0*(-0.03235545) - 1*(-23.907686) - 959.7808/x0))
13,329.49084,x3 * ((log(x0) * -13.608937) - ((inv(x0) * 2267.4011) + -96.095406)),0.014621370663246328,x3*(-13.608937*log(x0) + 96.095406 - 2267.4011/x0),PySRFunction(X=>x3*(-13.608937*log(x0) + 96.095406 - 2267.4011/x0))
14,318.6645,x3 * (((inv(x5 + x0) * -1513.2391) + (x0 * -0.035659958)) - -25.97038),0.033409728662636105,x3*(x0*(-0.035659958) - 1*(-25.97038) - 1513.2391/(x0 + x5)),PySRFunction(X=>x3*(x0*(-0.035659958) - 1*(-25.97038) - 1513.2391/(x0 + x5)))
15,310.2639,((inv(square(x6) + x0) * -1160.1024) + ((x0 * -0.034017585) - -24.95272)) * x3,0.02671559953732057,x3*(x0*(-0.034017585) - 1*(-24.95272) - 1160.1024/(x0 + x6**2)),PySRFunction(X=>x3*(x0*(-0.034017585) - 1*(-24.95272) - 1160.1024/(x0 + x6**2)))
16,308.24017,(x3 * -1491.972) * ((inv((x6 * 10.83832) + x0) + (x0 * 2.3444005e-5)) - 0.017440252),0.006543973823629253,x3*(-1491.972)*(x0*2.3444005e-5 - 1*0.017440252 + 1/(x0 + x6*10.83832)),PySRFunction(X=>x3*(-1491.972)*(x0*2.3444005e-5 - 1*0.017440252 + 1/(x0 + x6*10.83832)))
17,306.09705,(x3 * ((inv(x0 + (square(x6) * 1.8033673)) + (x0 * 2.7826012e-5)) - 0.021020932)) * -1156.8247,0.006977043304527681,x3*(x0*2.7826012e-5 - 1*0.021020932 + 1/(x0 + x6**2*1.8033673))*(-1156.8247),PySRFunction(X=>x3*(x0*2.7826012e-5 - 1*0.021020932 + 1/(x0 + x6**2*1.8033673))*(-1156.8247))
18,306.0171,(((x0 * 2.7852891e-5) + (inv(x0 + (square(x6) * sqrt(x8))) - 0.02103084)) * x3) * -1156.8247,0.00026122578755824504,-1156.8247*x3*(2.7852891e-5*x0 - 0.02103084 + 1/(x0 + x6**2*sqrt(x8))),PySRFunction(X=>-1156.8247*x3*(2.7852891e-5*x0 - 0.02103084 + 1/(x0 + x6**2*sqrt(x8))))
19,305.7136,(((inv(square(x6 * 1.3423092) + x0) * -1159.9733) + ((x0 * -0.032247014) - -24.176321)) * x3) + x8,0.0009922667765474077,x3*(x0*(-0.032247014) - 1*(-24.176321) - 1159.9733/(x0 + 1.80179398840464*x6**2)) + x8,PySRFunction(X=>x3*(x0*(-0.032247014) - 1*(-24.176321) - 1159.9733/(x0 + 1.80179398840464*x6**2)) + x8)
