Variable,Index
t - sqrt(t) + exp(-t),0
C_pol,1
C_pg * C_eth,2
C_pg,3
exp(-t),4
C_pg * log(t),5
log(t),6
1/t,7
inv(C_pg * C_eth),8
C_pg * t,9
inv(inv(C_pg * C_eth)),10
exp(inv(C_pg * C_eth)),11
exp(C_pg / C_eth),12
C_eth * log(t),13
1-exp(-t),14
t,15
C_eth * t,16
t - sqrt(t),17
C_eth,18
sqrt(t),19
