complexity,loss,score,restored_equation,loss_norm,complexity_norm,coverage_score,physics_score,physics_detail,stability_score,generalization_score,interpretability_score,total_score
15,289.70157,0.0893730594570146,((((C_pg * C_eth) * -0.0385792) + sqrt(inv(24.923012 - (C_pol)) + (inv(inv(C_pg * C_eth))))) * (t - sqrt(t) + exp(-t))) * 1.9768325,0.003263148247515554,0.7777777777777778,1.0,,"{'ok': False, 'msg': 'numeric eval error for combo [20.0, 10.0, 10.0]: 0-dimensional array given. Array must be at least two-dimensional', 'Q0_violations': 0, 'dQdt_violations': [], 'neg_frac': [], 'nan_flag': True, 'dQdt_violation_fractions': [], 'subscores': {'q0_pass_frac': 1.0, 'mono_score': nan, 'nonneg_score': nan, 'nan_penalty': 0.0, 'combined': nan}}",0.0893730594570146,0.5,0.5,
17,264.69086,0.0451443725896599,((inv((24.89669 - (C_pol)) * (C_pg)) + sqrt((C_pg * C_eth))) + ((inv(inv(C_pg * C_eth))) * -0.039275162)) * ((t - sqrt(t) + exp(-t)) * 2.0531404),0.0009109711182761166,0.8888888888888888,1.0,,"{'ok': False, 'msg': 'numeric eval error for combo [20.0, 10.0, 10.0]: 0-dimensional array given. Array must be at least two-dimensional', 'Q0_violations': 0, 'dQdt_violations': [], 'neg_frac': [], 'nan_flag': True, 'dQdt_violation_fractions': [], 'subscores': {'q0_pass_frac': 1.0, 'mono_score': nan, 'nonneg_score': nan, 'nan_penalty': 0.0, 'combined': nan}}",0.0451443725896599,0.5,0.5,
19,255.0045,0.0186406934595682,((t - sqrt(t) + exp(-t)) * 2.0515687) * ((inv((24.897438 - (C_pol)) * (C_pg)) + ((inv(inv(C_pg * C_eth))) * -0.0396406)) + sqrt((exp(C_pg / C_eth)) + (C_pg * C_eth))),0.0,1.0,1.0,,"{'ok': False, 'msg': 'numeric eval error for combo [20.0, 10.0, 10.0]: 0-dimensional array given. Array must be at least two-dimensional', 'Q0_violations': 0, 'dQdt_violations': [], 'neg_frac': [], 'nan_flag': True, 'dQdt_violation_fractions': [], 'subscores': {'q0_pass_frac': 1.0, 'mono_score': nan, 'nonneg_score': nan, 'nan_penalty': 0.0, 'combined': nan}}",0.0186406934595682,0.5,0.5,
