,MI,Lasso
C_pol,0.0,0.0
C_eth,0.0,0.0
C_pg,0.0,0.0
t,1.6425390815643448,60.708177488404935
sqrt(t),1.6374605315532984,0.0
log(t),1.629373233342403,0.0
1/t,1.610383038182784,0.0
exp(-t),1.277859759426678,0.0
1-exp(-t),1.278328852303839,0.0
C_pg * C_eth,0.0,11.305027486933833
C_pg * C_pol,0.0,0.0
C_eth * C_pol,0.0,0.0
C_pg / C_pol,0.0,0.0
C_pg / C_eth,0.0,0.0
C_eth / C_pol,0.0,0.0
C_pg^2,0.0,0.0
C_eth^2,0.0,0.0
C_pol^2,0.0,0.0
C_pg * log(t),1.1777964514918904,0.0
C_pg * log(t),1.1720651193927627,2.528245186793405
C_eth * log(t),1.3431156858820756,0.0
C_pg * log(t),1.2967311041892886,0.0
C_eth * t,1.3830873481865908,0.0
C_pg * t,1.4158908209008119,1.4264442583739103
log(C_pg / C_eth),0.0,0.0
sqrt(C_pg / C_eth),0.0,0.0
t - sqrt(t),1.6425390815643448,33.268864963933275
exp(C_pg / C_eth),0.0,1.99979623476435
C_pg * -0.3741939,0.0,0.0
C_pg * -0.37614924,0.0,0.0
t - sqrt(t) + exp(-t),1.6425390815643448,12.273262082268692
log(C_pg * C_eth),0.0,0.0
inv(C_pg * C_eth),0.0,6.296769403519458
log(inv(C_pg * C_eth)),0.0,0.0
