,MI,Lasso
C_pol,0.0,0.0
C_eth,0.0,0.0
C_pg,0.0,0.0
t,1.6425390815643448,48.39557931116005
sqrt(t),1.6347509728786027,0.0
log(t),1.6214210112380738,0.0
1/t,1.609900365826409,0.0
exp(-t),1.2786758279874257,0.0
1-exp(-t),1.2784667230903588,0.0
C_pg * C_eth,0.0,5.566632427978716
C_pg * C_pol,0.0,0.0
C_eth * C_pol,0.0,0.0
C_pg / C_pol,0.0,0.0
C_pg / C_eth,0.0,1.6139077429229371
C_eth / C_pol,0.0,0.0
C_pg^2,0.0,0.0
C_eth^2,0.0,0.0
C_pol^2,0.0,0.0
C_pg * log(t),1.1743972725435814,0.0
C_pg * log(t),1.1661452864961537,0.0
C_eth * log(t),1.344296221044294,0.0
C_pg * log(t),1.3048907820490454,0.0
C_eth * t,1.3832087137909883,0.0
C_pg * t,1.412673962772863,2.1132700697380082
log(C_pg / C_eth),0.0,0.0
sqrt(C_pg / C_eth),0.0,0.0
t - sqrt(t),1.6425390815643448,54.4104981332225
