complexity,loss,equation,score,sympy_format,lambda_format,restored_equation,restored_complexity,complexity_breakdown_str,is_pareto_front
1,10888.009,x4,0.0,x4,PySRFunction(X=>x4),(C_eth * log(t)),4,"{'operations': {'*': 1}, 'functions': {'log': 1}, 'variables': {'t': 1, 'C_eth': 1}}",False
2,3948.237,exp(x15),1.0143929417822932,exp(x15),PySRFunction(X=>exp(x15)),exp((sqrt(t))),3,"{'functions': {'exp': 1, 'sqrt': 1}, 'variables': {'t': 1}}",True
3,493.95618,x3 * 11.942547,2.0785776203467483,x3*11.942547,PySRFunction(X=>x3*11.942547),(t - sqrt(t) + exp(-t)) * 11.942547,10,"{'constants': ['11.942547'], 'operations': {'+': 1, '-': 2, '*': 1}, 'functions': {'exp': 1, 'sqrt': 1}, 'variables': {'t': 3}}",True
5,485.62988,(x13 * 11.774587) + x6,0.0085000194112688,x13*11.774587 + x6,PySRFunction(X=>x13*11.774587 + x6),((t - sqrt(t)) * 11.774587) + (exp(C_pg / C_eth)),11,"{'constants': ['11.774587'], 'operations': {'+': 1, '-': 1, '*': 1, '/': 1}, 'functions': {'exp': 1, 'sqrt': 1}, 'variables': {'t': 2, 'C_eth': 1, 'C_pg': 1}}",True
6,442.74097,x3 * (17.307146 - log(x0)),0.092461888779431,x3*(17.307146 - log(x0)),PySRFunction(X=>x3*(17.307146 - log(x0))),(t - sqrt(t) + exp(-t)) * (17.307146 - log((C_pg * C_eth))),15,"{'constants': ['17.307146'], 'operations': {'+': 1, '-': 3, '*': 2}, 'functions': {'exp': 1, 'log': 1, 'sqrt': 1}, 'variables': {'t': 3, 'C_eth': 1, 'C_pg': 1}}",True
7,394.0322,x3 * ((x0 * -0.011395615) + 14.494929),0.1165522493511596,x3*(14.494929 + x0*(-0.011395615)),PySRFunction(X=>x3*(14.494929 + x0*(-0.011395615))),(t - sqrt(t) + exp(-t)) * (((C_pg * C_eth) * -0.011395615) + 14.494929),16,"{'constants': ['-0.011395615', '14.494929'], 'operations': {'+': 2, '-': 2, '*': 3}, 'functions': {'exp': 1, 'sqrt': 1}, 'variables': {'t': 3, 'C_eth': 1, 'C_pg': 1}}",True
9,363.9783,x3 * ((x6 + 13.557949) + (x16 * -0.3140663)),0.0396691906859112,x3*(x16*(-0.3140663) + x6 + 13.557949),PySRFunction(X=>x3*(x16*(-0.3140663) + x6 + 13.557949)),(t - sqrt(t) + exp(-t)) * (((exp(C_pg / C_eth)) + 13.557949) + ((C_pg) * -0.3140663)),19,"{'constants': ['13.557949', '-0.3140663'], 'operations': {'+': 3, '-': 2, '*': 2, '/': 1}, 'functions': {'exp': 2, 'sqrt': 1}, 'variables': {'t': 3, 'C_eth': 1, 'C_pg': 2}}",True
11,355.63385,x3 * (x6 + (((x16 * x16) * -0.010709551) + 11.380359)),0.0115962800698043,x3*(x16*x16*(-0.010709551) + x6 + 11.380359),PySRFunction(X=>x3*(x16*x16*(-0.010709551) + x6 + 11.380359)),(t - sqrt(t) + exp(-t)) * ((exp(C_pg / C_eth)) + ((((C_pg) * (C_pg)) * -0.010709551) + 11.380359)),21,"{'constants': ['-0.010709551', '11.380359'], 'operations': {'+': 3, '-': 2, '*': 3, '/': 1}, 'functions': {'exp': 2, 'sqrt': 1}, 'variables': {'t': 3, 'C_eth': 1, 'C_pg': 3}}",True
12,334.34384,(((inv(x0) * -959.7808) + (x0 * -0.03235545)) - -23.907686) * x3,0.0617317658125692,x3*(x0*(-0.03235545) - 1*(-23.907686) - 959.7808/x0),PySRFunction(X=>x3*(x0*(-0.03235545) - 1*(-23.907686) - 959.7808/x0)),(((inv((C_pg * C_eth)) * -959.7808) + ((C_pg * C_eth) * -0.03235545)) - -23.907686) * (t - sqrt(t) + exp(-t)),23,"{'constants': ['-959.7808', '-0.03235545', '-23.907686'], 'operations': {'+': 2, '-': 3, '*': 5}, 'functions': {'exp': 1, 'sqrt': 1, 'inv': 1}, 'variables': {'t': 3, 'C_eth': 2, 'C_pg': 2}}",True
13,329.49084,x3 * ((log(x0) * -13.608937) - ((inv(x0) * 2267.4011) + -96.095406)),0.0146213706632463,x3*(-13.608937*log(x0) + 96.095406 - 2267.4011/x0),PySRFunction(X=>x3*(-13.608937*log(x0) + 96.095406 - 2267.4011/x0)),(t - sqrt(t) + exp(-t)) * ((log((C_pg * C_eth)) * -13.608937) - ((inv((C_pg * C_eth)) * 2267.4011) + -96.095406)),24,"{'constants': ['-13.608937', '2267.4011', '-96.095406'], 'operations': {'+': 2, '-': 3, '*': 5}, 'functions': {'exp': 1, 'log': 1, 'sqrt': 1, 'inv': 1}, 'variables': {'t': 3, 'C_eth': 2, 'C_pg': 2}}",True
