pop_size,ngen,cxpb,tournsize,tree_len_max,init_depth_max,alpha_complexity,seed,size,sec,train_MSE,train_MSE_norm,test_MSE,test_MSE_norm,best_infix
4000,250,0.6,5,25,4,0.0005,3569253,14,218.25,1652297.829,0.182589349,3094946.249,0.342011113,(((log(1+exp(C3)) / Q) * (C1 - (-1.1031141456246787 + C2))) + ((Q)**2)**2)
4000,250,0.6,5,25,4,0.0005,1099562,22,7315.8,1171310.069,0.129437163,2170517.531,0.2398559,(Q - log(1+exp(((((C2 * C3) * ((((C1 - C3))**2)**2 * C1)) - ((Q)**2)**2) + ((0.15655506845286504)**2)**2))))
4000,250,0.7,5,25,4,0.0005,1518812,16,11013.83,983499.9989,0.108682963,1871475.3,0.206809844,log(1+exp((log(1+exp((((-0.08751740117905493 * C1) * (C3 * C2)) + log(1+exp(Q))))) - ((Q)**2)**2)))
4000,250,0.7,5,25,4,0.0005,3580319,25,7089.13,1054773.182,0.1165591,2070428.913,0.228795475,((Q - C3) + log(1+exp(((Q - C3) - ((log(1+exp(((log(1+exp(C2)) - ((Q - C3))**2) + C1))) - log(1+exp((0.5330330343349836 * Q)))))**2))))
4000,250,0.7,5,25,4,0.0005,525876,21,1445.94,1029198.469,0.113732933,2501143.024,0.276392105,(Q - log(1+exp((((Q * Q) + log(1+exp((log(1+exp(C2)) - ((C3 + C1) - (C2 - (-0.3949144617153113 * C1))))))))**2)))
4000,250,0.6,3,25,4,0.0005,950324,22,3230.9,984407.9449,0.108783297,1871828.615,0.206848887,(Q - (((Q)**2)**2 + (log(1+exp((((((C2)**2)**2 * C3) - (C2 * C1)) * 0.01284151145774226))) * log(1+exp((Q)**2)))))
4000,250,0.6,3,25,4,0.0005,105052,11,212.02,1800850.967,0.199005409,3094925.776,0.342008851,(Q - (((C3 + C1) * C2) + ((Q)**2)**2))
4000,250,0.6,3,25,4,0.0005,9477861,16,1465.57,3146959.616,0.347758919,4173140.449,0.461158384,log(1+exp((Q - (Q - (((Q)**2 + (((C1 + C2) - 1.065723275195739) / C3)))**2))))
4000,250,0.6,5,25,4,0.0005,6109758,25,12996.25,1178243.494,0.13020335,2177846.156,0.240665759,((((C2 - ((log(1+exp(((log(1+exp(0.47737594254604204)))**2 + log(1+exp((C3 * ((C1)**2)**2)))))) / (C2)**2) - (Q)**2)))**2 - Q) - log(1+exp(C2)))
4000,250,0.6,5,25,4,0.0005,6423736,17,1405.21,1482973.861,0.163877981,2897405.08,0.320181566,((C1 + Q) - (C3 + (C1 + ((((C2 - Q) - (Q - C3)))**2)**2)))
4000,250,0.6,5,25,4,0.0005,1959879,18,4562.14,63893.94103,0.007060684,91205.64553,0.0100788,(log(1+exp((C3 * C2))) + ((log(1+exp(Q)) / log(1+exp((C1 - log(1+exp(-3.3457050105055344)))))) * (log(1+exp((Q)**2)))**2))
4000,250,0.6,7,25,4,0.0005,4249830,18,6467.25,1552772.82,0.171591207,2700224.273,0.298391841,(C3 + ((Q + log(1+exp((Q + (Q * C1))))) / (1.6717771394718877 - ((C2 - (Q)**2))**2)))
4000,250,0.6,7,25,4,0.0005,5482792,22,1990.66,1651983.167,0.182554577,3094316.637,0.341941537,(((((-0.35723762570457906)**2 + C3))**2 + C3) + ((-0.35723762570457906)**2 / (Q - ((((log(1+exp(C2)) - log(1+exp(C1))))**2)**2 * C1))))
