complexity,loss,equation,score,sympy_format,lambda_format,restored_equation
1,10888.009,x13,0.0,x13,PySRFunction(X=>x13),(C_eth * log(t))
2,3948.237,exp(x19),1.0143929417822932,exp(x19),PySRFunction(X=>exp(x19)),exp((sqrt(t)))
3,493.95618,x0 * 11.942498,2.0785776203467483,x0*11.942498,PySRFunction(X=>x0*11.942498),(t - sqrt(t) + exp(-t)) * 11.942498
5,485.62988,(x17 * 11.77437) + x12,0.0085000194112688,x12 + x17*11.77437,PySRFunction(X=>x12 + x17*11.77437),((t - sqrt(t)) * 11.77437) + (exp(C_pg / C_eth))
6,438.1658,x0 * (63.809753 / log(x2)),0.1028493924159804,63.809753*x0/log(x2),PySRFunction(X=>63.809753*x0/log(x2)),(t - sqrt(t) + exp(-t)) * (63.809753 / log((C_pg * C_eth)))
7,394.0322,x0 * ((x2 * -0.011395627) - -14.494933),0.1061647457146103,x0*(x2*(-0.011395627) - 1*(-14.494933)),PySRFunction(X=>x0*(x2*(-0.011395627) - 1*(-14.494933))),(t - sqrt(t) + exp(-t)) * (((C_pg * C_eth) * -0.011395627) - -14.494933)
8,374.771,x0 * ((square(x2) * -2.5378868e-5) - -13.333137),0.0501174590759683,x0*(x2**2*(-2.5378868e-5) - 1*(-13.333137)),PySRFunction(X=>x0*(x2**2*(-2.5378868e-5) - 1*(-13.333137))),(t - sqrt(t) + exp(-t)) * ((square((C_pg * C_eth)) * -2.5378868e-5) - -13.333137)
10,347.1678,((x2 * -0.07682302) - (sqrt(x10) * -1.9708437)) * x0,0.0382534681104999,x0*(1.9708437*sqrt(x10) - 0.07682302*x2),PySRFunction(X=>x0*(1.9708437*sqrt(x10) - 0.07682302*x2)),(((C_pg * C_eth) * -0.07682302) - (sqrt((inv(inv(C_pg * C_eth)))) * -1.9708437)) * (t - sqrt(t) + exp(-t))
11,334.28418,(((x11 * -949.0297) + (x10 * -0.03224266)) - -972.86957) * x0,0.0378167670076008,x0*(x10*(-0.03224266) + x11*(-949.0297) - 1*(-972.86957)),PySRFunction(X=>x0*(x10*(-0.03224266) + x11*(-949.0297) - 1*(-972.86957))),((((exp(inv(C_pg * C_eth))) * -949.0297) + ((inv(inv(C_pg * C_eth))) * -0.03224266)) - -972.86957) * (t - sqrt(t) + exp(-t))
12,329.05692,(((-3854.2861 / x2) + -83.033714) + (609.0649 / log(x2))) * x0,0.0157607246227498,x0*(-83.033714 + 609.0649/log(x2) - 3854.2861/x2),PySRFunction(X=>x0*(-83.033714 + 609.0649/log(x2) - 3854.2861/x2)),(((-3854.2861 / (C_pg * C_eth)) + -83.033714) + (609.0649 / log((C_pg * C_eth)))) * (t - sqrt(t) + exp(-t))
13,318.65527,(((-1513.7467 / (x5 + x10)) + 25.97749) + (x10 * -0.035685785)) * x0,0.0321208847741288,x0*(x10*(-0.035685785) + 25.97749 - 1513.7467/(x10 + x5)),PySRFunction(X=>x0*(x10*(-0.035685785) + 25.97749 - 1513.7467/(x10 + x5))),(((-1513.7467 / ((C_pg * log(t)) + (inv(inv(C_pg * C_eth))))) + 25.97749) + ((inv(inv(C_pg * C_eth))) * -0.035685785)) * (t - sqrt(t) + exp(-t))
14,310.20898,x0 * ((((sqrt(x12) + (x10 * -0.03188361)) + -950.2621) * x11) - -972.33905),0.0268636607568907,x0*(x11*(-0.03188361*x10 + sqrt(x12) - 950.2621) + 972.33905),PySRFunction(X=>x0*(x11*(-0.03188361*x10 + sqrt(x12) - 950.2621) + 972.33905)),(t - sqrt(t) + exp(-t)) * ((((sqrt((exp(C_pg / C_eth))) + ((inv(inv(C_pg * C_eth))) * -0.03188361)) + -950.2621) * (exp(inv(C_pg * C_eth)))) - -972.33905)
15,306.51074,x0 * ((((x12 * 61.916622) + -1098.4789) / x2) + ((x10 * -0.030869292) + 23.319893)),0.0119934038431552,x0*(x10*(-0.030869292) + 23.319893 + (x12*61.916622 - 1098.4789)/x2),PySRFunction(X=>x0*(x10*(-0.030869292) + 23.319893 + (x12*61.916622 - 1098.4789)/x2)),(t - sqrt(t) + exp(-t)) * (((((exp(C_pg / C_eth)) * 61.916622) + -1098.4789) / (C_pg * C_eth)) + (((inv(inv(C_pg * C_eth))) * -0.030869292) + 23.319893))
17,306.12256,((((((61.907932 * x12) + -1098.482) / x2) + (-0.030857012 * x10)) + 23.14992) * x0) + x6,0.0006336254525324,x0*(-0.030857012*x10 + 23.14992 + (61.907932*x12 - 1098.482)/x2) + x6,PySRFunction(X=>x0*(-0.030857012*x10 + 23.14992 + (61.907932*x12 - 1098.482)/x2) + x6),((((((61.907932 * (exp(C_pg / C_eth))) + -1098.482) / (C_pg * C_eth)) + (-0.030857012 * (inv(inv(C_pg * C_eth))))) + 23.14992) * (t - sqrt(t) + exp(-t))) + (log(t))
18,305.87054,x0 * ((((x2 * ((x10 * -4.09875e-8) + 4.9382445e-5)) + x11) * (sqrt(x12) + -1445.7858)) - -1475.8674),0.0008236041035297,x0*((x11 + x2*(4.9382445e-5 - 4.09875e-8*x10))*(sqrt(x12) - 1445.7858) + 1475.8674),PySRFunction(X=>x0*((x11 + x2*(4.9382445e-5 - 4.09875e-8*x10))*(sqrt(x12) - 1445.7858) + 1475.8674)),(t - sqrt(t) + exp(-t)) * (((((C_pg * C_eth) * (((inv(inv(C_pg * C_eth))) * -4.09875e-8) + 4.9382445e-5)) + (exp(inv(C_pg * C_eth)))) * (sqrt((exp(C_pg / C_eth))) + -1445.7858)) - -1475.8674)
19,305.52264,((x17 * (((x10 * -0.030954387) + 23.240248) + (((x12 * 72.41551) + -1132.9036) / x2))) + 5.026804) - x12,0.0011380566513653,-x12 + x17*(x10*(-0.030954387) + 23.240248 + (x12*72.41551 - 1132.9036)/x2) + 5.026804,PySRFunction(X=>-x12 + x17*(x10*(-0.030954387) + 23.240248 + (x12*72.41551 - 1132.9036)/x2) + 5.026804),(((t - sqrt(t)) * ((((inv(inv(C_pg * C_eth))) * -0.030954387) + 23.240248) + ((((exp(C_pg / C_eth)) * 72.41551) + -1132.9036) / (C_pg * C_eth)))) + 5.026804) - (exp(C_pg / C_eth))
