complexity,loss,equation,score,sympy_format,lambda_format,restored_equation,restored_complexity,complexity_breakdown_str,is_pareto_front
1,10888.009,x3,0.0,x3,PySRFunction(X=>x3),(C_eth * log(t)),4,"{'operations': {'*': 1}, 'functions': {'log': 1}, 'variables': {'t': 1, 'C_eth': 1}}",False
2,3948.237,exp(x14),1.0143929417822932,exp(x14),PySRFunction(X=>exp(x14)),exp((sqrt(t))),3,"{'functions': {'exp': 1, 'sqrt': 1}, 'variables': {'t': 1}}",True
3,495.62003,x11 * 11.94408,2.075214864550672,x11*11.94408,PySRFunction(X=>x11*11.94408),(t - sqrt(t)) * 11.94408,6,"{'constants': ['11.94408'], 'operations': {'-': 1, '*': 1}, 'functions': {'sqrt': 1}, 'variables': {'t': 2}}",True
5,470.35263,x11 * (x12 + 10.903478),0.0261634373065099,x11*(x12 + 10.903478),PySRFunction(X=>x11*(x12 + 10.903478)),(t - sqrt(t)) * ((C_pg / C_eth) + 10.903478),10,"{'constants': ['10.903478'], 'operations': {'+': 1, '-': 1, '*': 1, '/': 1}, 'functions': {'sqrt': 1}, 'variables': {'t': 2, 'C_eth': 1, 'C_pg': 1}}",True
6,444.3997,(17.308594 - log(x0)) * x11,0.056758307285325,x11*(17.308594 - log(x0)),PySRFunction(X=>x11*(17.308594 - log(x0))),(17.308594 - log((C_pg * C_eth))) * (t - sqrt(t)),11,"{'constants': ['17.308594'], 'operations': {'-': 2, '*': 2}, 'functions': {'log': 1, 'sqrt': 1}, 'variables': {'t': 2, 'C_eth': 1, 'C_pg': 1}}",True
7,395.67368,x11 * ((x0 * -0.011397907) + 14.49696),0.1161345515552288,x11*(14.49696 + x0*(-0.011397907)),PySRFunction(X=>x11*(14.49696 + x0*(-0.011397907))),(t - sqrt(t)) * (((C_pg * C_eth) * -0.011397907) + 14.49696),12,"{'constants': ['-0.011397907', '14.49696'], 'operations': {'+': 1, '-': 1, '*': 3}, 'functions': {'sqrt': 1}, 'variables': {'t': 2, 'C_eth': 1, 'C_pg': 1}}",True
8,390.67316,x11 * sqrt((x0 * -0.27899188) + 205.77853),0.0127185286513836,x11*sqrt(205.77853 - 0.27899188*x0),PySRFunction(X=>x11*sqrt(205.77853 - 0.27899188*x0)),(t - sqrt(t)) * sqrt(((C_pg * C_eth) * -0.27899188) + 205.77853),13,"{'constants': ['-0.27899188', '205.77853'], 'operations': {'+': 1, '-': 1, '*': 3}, 'functions': {'sqrt': 2}, 'variables': {'t': 2, 'C_eth': 1, 'C_pg': 1}}",True
9,374.69333,(x12 + ((x0 * -0.011152059) + 13.401288)) * x11,0.0417633977573167,x11*(x0*(-0.011152059) + x12 + 13.401288),PySRFunction(X=>x11*(x0*(-0.011152059) + x12 + 13.401288)),((C_pg / C_eth) + (((C_pg * C_eth) * -0.011152059) + 13.401288)) * (t - sqrt(t)),16,"{'constants': ['-0.011152059', '13.401288'], 'operations': {'+': 2, '-': 1, '*': 3, '/': 1}, 'functions': {'sqrt': 1}, 'variables': {'t': 2, 'C_eth': 2, 'C_pg': 2}}",False
10,348.82483,x11 * (((x0 * -0.0389888) + sqrt(x0)) / 0.5073141),0.0715380283060499,x11*(1.97116539832029*sqrt(x0) - 0.0768533734820302*x0),PySRFunction(X=>x11*(1.97116539832029*sqrt(x0) - 0.0768533734820302*x0)),(t - sqrt(t)) * ((((C_pg * C_eth) * -0.0389888) + sqrt((C_pg * C_eth))) / 0.5073141),17,"{'constants': ['-0.0389888', '0.5073141'], 'operations': {'+': 1, '-': 1, '*': 4, '/': 1}, 'functions': {'sqrt': 2}, 'variables': {'t': 2, 'C_eth': 2, 'C_pg': 2}}",False
12,336.03217,(sqrt(x0 + x15) + (x0 * -0.03943337)) * (x11 / 0.54015577),0.0186814885000532,1.85131781522948*x11*(-0.03943337*x0 + sqrt(x0 + x15)),PySRFunction(X=>1.85131781522948*x11*(-0.03943337*x0 + sqrt(x0 + x15))),(sqrt((C_pg * C_eth) + (C_pg)) + ((C_pg * C_eth) * -0.03943337)) * ((t - sqrt(t)) / 0.54015577),19,"{'constants': ['-0.03943337', '0.54015577'], 'operations': {'+': 2, '-': 1, '*': 4, '/': 1}, 'functions': {'sqrt': 2}, 'variables': {'t': 2, 'C_eth': 2, 'C_pg': 3}}",False
13,320.77472,x11 * (((x15 + -11.702882) * ((12.924378 / x5) + -0.97610176)) + 12.084542),0.0464678295329327,x11*((-0.97610176 + 12.924378/x5)*(x15 - 11.702882) + 12.084542),PySRFunction(X=>x11*((-0.97610176 + 12.924378/x5)*(x15 - 11.702882) + 12.084542)),(t - sqrt(t)) * ((((C_pg) + -11.702882) * ((12.924378 / (C_eth)) + -0.97610176)) + 12.084542),16,"{'constants': ['-11.702882', '12.924378', '-0.97610176', '12.084542'], 'operations': {'+': 3, '-': 1, '*': 2, '/': 1}, 'functions': {'sqrt': 1}, 'variables': {'t': 2, 'C_eth': 1, 'C_pg': 1}}",True
15,318.87643,(((((12.920627 / x5) + -0.97586656) * (x15 + -11.701101)) + 11.974526) * x11) + 1.9803557,0.0029677044634627,x11*((-0.97586656 + 12.920627/x5)*(x15 - 11.701101) + 11.974526) + 1.9803557,PySRFunction(X=>x11*((-0.97586656 + 12.920627/x5)*(x15 - 11.701101) + 11.974526) + 1.9803557),(((((12.920627 / (C_eth)) + -0.97586656) * ((C_pg) + -11.701101)) + 11.974526) * (t - sqrt(t))) + 1.9803557,18,"{'constants': ['12.920627', '-0.97586656', '-11.701101', '11.974526', '1.9803557'], 'operations': {'+': 4, '-': 1, '*': 2, '/': 1}, 'functions': {'sqrt': 1}, 'variables': {'t': 2, 'C_eth': 1, 'C_pg': 1}}",True
17,273.88672,x11 * (exp(x12) + (((-0.3741939 * x15) + inv((x12 + -1.0033072) * x0)) + 14.720859)),0.0760445353613383,x11*(-0.3741939*x15 + exp(x12) + 14.720859 + 1/(x0*(x12 - 1.0033072))),PySRFunction(X=>x11*(-0.3741939*x15 + exp(x12) + 14.720859 + 1/(x0*(x12 - 1.0033072)))),(t - sqrt(t)) * (exp((C_pg / C_eth)) + (((-0.3741939 * (C_pg)) + inv(((C_pg / C_eth) + -1.0033072) * (C_pg * C_eth))) + 14.720859)),26,"{'constants': ['-0.3741939', '-1.0033072', '14.720859'], 'operations': {'+': 4, '-': 1, '*': 4, '/': 2}, 'functions': {'exp': 1, 'sqrt': 1, 'inv': 1}, 'variables': {'t': 2, 'C_eth': 3, 'C_pg': 4}}",False
18,269.03894,x11 * ((14.720859 + exp(x12)) + (inv((sqrt(x12) + -1.0033072) * x0) + (x15 * -0.37614924))),0.017858462755449,x11*(-0.37614924*x15 + exp(x12) + 14.720859 + 1/(x0*(sqrt(x12) - 1.0033072))),PySRFunction(X=>x11*(-0.37614924*x15 + exp(x12) + 14.720859 + 1/(x0*(sqrt(x12) - 1.0033072)))),(t - sqrt(t)) * ((14.720859 + exp((C_pg / C_eth))) + (inv((sqrt((C_pg / C_eth)) + -1.0033072) * (C_pg * C_eth)) + ((C_pg) * -0.37614924))),27,"{'constants': ['14.720859', '-1.0033072', '-0.37614924'], 'operations': {'+': 4, '-': 1, '*': 4, '/': 2}, 'functions': {'exp': 1, 'sqrt': 2, 'inv': 1}, 'variables': {'t': 2, 'C_eth': 3, 'C_pg': 4}}",False
19,268.92627,x11 * (exp(x12) + (((x15 * -0.3741939) + inv((sqrt(x12) + -1.0033072) * square(x15))) + 14.720859)),0.0004188746764774,x11*(-0.3741939*x15 + exp(x12) + 14.720859 + 1/(x15**2*(sqrt(x12) - 1.0033072))),PySRFunction(X=>x11*(-0.3741939*x15 + exp(x12) + 14.720859 + 1/(x15**2*(sqrt(x12) - 1.0033072)))),(t - sqrt(t)) * (exp((C_pg / C_eth)) + ((((C_pg) * -0.3741939) + inv((sqrt((C_pg / C_eth)) + -1.0033072) * square((C_pg)))) + 14.720859)),26,"{'constants': ['-0.3741939', '-1.0033072', '14.720859'], 'operations': {'+': 4, '-': 1, '*': 3, '/': 2}, 'functions': {'exp': 1, 'sqrt': 2, 'inv': 1, 'square': 1}, 'variables': {'t': 2, 'C_eth': 2, 'C_pg': 4}}",True
