Variable,Index
C_pg * C_eth,0
exp(-t),1
C_pol,2
C_eth * log(t),3
C_pg * log(t),4
C_eth,5
log(t),6
1-exp(-t),7
t,8
C_eth * t,9
1/t,10
t - sqrt(t),11
C_pg / C_eth,12
C_pg * t,13
sqrt(t),14
C_pg,15
