complexity,loss,equation,score,sympy_format,lambda_format,restored_equation,restored_complexity,complexity_breakdown_str,is_pareto_front
1,10888.009,x3,0.0,x3,PySRFunction(X=>x3),(C_eth * log(t)),4,"{'operations': {'*': 1}, 'functions': {'log': 1}, 'variables': {'t': 1, 'C_eth': 1}}",False
2,3948.237,exp(x13),1.0143929417822932,exp(x13),PySRFunction(X=>exp(x13)),exp((sqrt(t))),3,"{'functions': {'exp': 1, 'sqrt': 1}, 'variables': {'t': 1}}",False
3,576.34656,x8 * 9.44371,1.924315282713019,x8*9.44371,PySRFunction(X=>x8*9.44371),(t) * 9.44371,3,"{'constants': ['9.44371'], 'operations': {'*': 1}, 'variables': {'t': 1}}",True
5,479.7468,(x8 * 10.156036) - x5,0.0917253408544361,-x5 + x8*10.156036,PySRFunction(X=>-x5 + x8*10.156036),((t) * 10.156036) - (C_eth),5,"{'constants': ['10.156036'], 'operations': {'-': 1, '*': 1}, 'variables': {'t': 1, 'C_eth': 1}}",True
7,461.74023,(x8 - (x0 * 0.0065854993)) * 10.1438675,0.0191280022524943,(-0.0065854993*x0 + x8)*10.1438675,PySRFunction(X=>(-0.0065854993*x0 + x8)*10.1438675),((t) - ((C_pg * C_eth) * 0.0065854993)) * 10.1438675,9,"{'constants': ['0.0065854993', '10.1438675'], 'operations': {'-': 1, '*': 3}, 'variables': {'t': 1, 'C_eth': 1, 'C_pg': 1}}",True
8,406.55365,square((-0.007377929 * x0) + (x13 * 3.4163024)),0.1272865596208446,(-0.007377929*x0 + x13*3.4163024)**2,PySRFunction(X=>(-0.007377929*x0 + x13*3.4163024)**2),square((-0.007377929 * (C_pg * C_eth)) + ((sqrt(t)) * 3.4163024)),11,"{'constants': ['-0.007377929', '3.4163024'], 'operations': {'+': 1, '*': 3}, 'functions': {'sqrt': 1, 'square': 1}, 'variables': {'t': 1, 'C_eth': 1, 'C_pg': 1}}",True
9,395.67368,(x8 - x13) * (14.497121 - (x0 * 0.011398683)),0.0271260694565208,(14.497121 - 0.011398683*x0)*(-x13 + x8),PySRFunction(X=>(14.497121 - 0.011398683*x0)*(-x13 + x8)),((t) - (sqrt(t))) * (14.497121 - ((C_pg * C_eth) * 0.011398683)),12,"{'constants': ['14.497121', '0.011398683'], 'operations': {'-': 2, '*': 3}, 'functions': {'sqrt': 1}, 'variables': {'t': 2, 'C_eth': 1, 'C_pg': 1}}",True
10,368.01797,(x8 - x13) * ((1.4291301e-7 / log(x11)) + 12.359054),0.0724580626440614,(12.359054 + 1.4291301e-7/log(x11))*(-x13 + x8),PySRFunction(X=>(12.359054 + 1.4291301e-7/log(x11))*(-x13 + x8)),((t) - (sqrt(t))) * ((1.4291301e-7 / log((C_pg / C_eth))) + 12.359054),13,"{'constants': ['1.4291301e-7', '12.359054'], 'operations': {'+': 1, '-': 1, '*': 1, '/': 2}, 'functions': {'log': 1, 'sqrt': 1}, 'variables': {'t': 2, 'C_eth': 1, 'C_pg': 1}}",True
11,365.88702,((1.4405121e-7 / log(x11)) + 12.462354) * square(x13 + -0.54816633),0.0058071712757837,(12.462354 + 1.4405121e-7/log(x11))*(x13 - 0.54816633)**2,PySRFunction(X=>(12.462354 + 1.4405121e-7/log(x11))*(x13 - 0.54816633)**2),((1.4405121e-7 / log((C_pg / C_eth))) + 12.462354) * square((sqrt(t)) + -0.54816633),14,"{'constants': ['1.4405121e-7', '12.462354', '-0.54816633'], 'operations': {'+': 2, '*': 1, '/': 2}, 'functions': {'log': 1, 'sqrt': 1, 'square': 1}, 'variables': {'t': 1, 'C_eth': 1, 'C_pg': 1}}",True
12,341.07758,square((-110.463936 / x0) + x13) * ((x0 * -0.024798347) - -17.674097),0.0702146384836396,(x13 - 110.463936/x0)**2*(x0*(-0.024798347) - 1*(-17.674097)),PySRFunction(X=>(x13 - 110.463936/x0)**2*(x0*(-0.024798347) - 1*(-17.674097))),square((-110.463936 / (C_pg * C_eth)) + (sqrt(t))) * (((C_pg * C_eth) * -0.024798347) - -17.674097),17,"{'constants': ['-110.463936', '-0.024798347', '-17.674097'], 'operations': {'+': 1, '-': 1, '*': 4, '/': 1}, 'functions': {'sqrt': 1, 'square': 1}, 'variables': {'t': 1, 'C_eth': 2, 'C_pg': 2}}",False
13,318.75742,((1.3709085e-7 / log(x11)) + 12.117202) * square((x5 * -0.032333598) + x13),0.0676795841059567,(12.117202 + 1.3709085e-7/log(x11))*(x13 - 0.032333598*x5)**2,PySRFunction(X=>(12.117202 + 1.3709085e-7/log(x11))*(x13 - 0.032333598*x5)**2),((1.3709085e-7 / log((C_pg / C_eth))) + 12.117202) * square(((C_eth) * -0.032333598) + (sqrt(t))),16,"{'constants': ['1.3709085e-7', '12.117202', '-0.032333598'], 'operations': {'+': 2, '*': 2, '/': 2}, 'functions': {'log': 1, 'sqrt': 1, 'square': 1}, 'variables': {'t': 1, 'C_eth': 2, 'C_pg': 1}}",True
14,306.81516,(12.117202 + (1.3719279e-7 / log(sqrt(x11)))) * square((-0.032333598 * x5) + x13),0.0381848930621999,(12.117202 + 1.3719279e-7/log(sqrt(x11)))*(x13 - 0.032333598*x5)**2,PySRFunction(X=>(12.117202 + 1.3719279e-7/log(sqrt(x11)))*(x13 - 0.032333598*x5)**2),(12.117202 + (1.3719279e-7 / log(sqrt((C_pg / C_eth))))) * square((-0.032333598 * (C_eth)) + (sqrt(t))),17,"{'constants': ['12.117202', '1.3719279e-7', '-0.032333598'], 'operations': {'+': 2, '*': 2, '/': 2}, 'functions': {'log': 1, 'sqrt': 2, 'square': 1}, 'variables': {'t': 1, 'C_eth': 2, 'C_pg': 1}}",True
15,306.80606,(12.117202 + (1.3719279e-7 / log(sqrt(x11)))) * square((sqrt(x0) * -0.032333598) + x13),2.965999122598704e-05,(12.117202 + 1.3719279e-7/log(sqrt(x11)))*(-0.032333598*sqrt(x0) + x13)**2,PySRFunction(X=>(12.117202 + 1.3719279e-7/log(sqrt(x11)))*(-0.032333598*sqrt(x0) + x13)**2),(12.117202 + (1.3719279e-7 / log(sqrt((C_pg / C_eth))))) * square((sqrt((C_pg * C_eth)) * -0.032333598) + (sqrt(t))),20,"{'constants': ['12.117202', '1.3719279e-7', '-0.032333598'], 'operations': {'+': 2, '*': 3, '/': 2}, 'functions': {'log': 1, 'sqrt': 3, 'square': 1}, 'variables': {'t': 1, 'C_eth': 2, 'C_pg': 2}}",False
16,305.17902,(((1.317249e-7 / log(sqrt(x11))) + 12.356144) * square((x5 * -0.031632666) + x13)) - x13,0.0053172663408186,-x13 + (12.356144 + 1.317249e-7/log(sqrt(x11)))*(x13 - 0.031632666*x5)**2,PySRFunction(X=>-x13 + (12.356144 + 1.317249e-7/log(sqrt(x11)))*(x13 - 0.031632666*x5)**2),(((1.317249e-7 / log(sqrt((C_pg / C_eth)))) + 12.356144) * square(((C_eth) * -0.031632666) + (sqrt(t)))) - (sqrt(t)),20,"{'constants': ['1.317249e-7', '12.356144', '-0.031632666'], 'operations': {'+': 2, '-': 1, '*': 2, '/': 2}, 'functions': {'log': 1, 'sqrt': 3, 'square': 1}, 'variables': {'t': 2, 'C_eth': 2, 'C_pg': 1}}",True
17,295.2134,square(x13 + ((inv(x11 - 1.0288233) + -87.97476) / x0)) * ((x0 * -0.022605736) - -16.723907),0.0332000705888074,(x13 + (-87.97476 + 1/(x11 - 1*1.0288233))/x0)**2*(x0*(-0.022605736) - 1*(-16.723907)),PySRFunction(X=>(x13 + (-87.97476 + 1/(x11 - 1*1.0288233))/x0)**2*(x0*(-0.022605736) - 1*(-16.723907))),square((sqrt(t)) + ((inv((C_pg / C_eth) - 1.0288233) + -87.97476) / (C_pg * C_eth))) * (((C_pg * C_eth) * -0.022605736) - -16.723907),23,"{'constants': ['-1.0288233', '-87.97476', '-0.022605736', '-16.723907'], 'operations': {'+': 2, '-': 1, '*': 4, '/': 2}, 'functions': {'sqrt': 1, 'inv': 1, 'square': 1}, 'variables': {'t': 1, 'C_eth': 3, 'C_pg': 3}}",True
18,273.26297,square(x13 + (-0.4981003 + (inv(square(x11) - 1.0140178) / x0))) * ((x0 * -0.016146982) - -15.692557),0.0772638930290709,(x0*(-0.016146982) - 1*(-15.692557))*(x13 - 0.4981003 + 1/(x0*(x11**2 - 1*1.0140178)))**2,PySRFunction(X=>(x0*(-0.016146982) - 1*(-15.692557))*(x13 - 0.4981003 + 1/(x0*(x11**2 - 1*1.0140178)))**2),square((sqrt(t)) + (-0.4981003 + (inv(square((C_pg / C_eth)) - 1.0140178) / (C_pg * C_eth)))) * (((C_pg * C_eth) * -0.016146982) - -15.692557),24,"{'constants': ['-0.4981003', '-1.0140178', '-0.016146982', '-15.692557'], 'operations': {'+': 2, '-': 1, '*': 4, '/': 2}, 'functions': {'sqrt': 1, 'inv': 1, 'square': 2}, 'variables': {'t': 1, 'C_eth': 3, 'C_pg': 3}}",True
