complexity,loss,equation,score,sympy_format,lambda_format
1,10888.009,x3,0.0,x3,PySRFunction(X=>x3)
2,3948.237,exp(x14),1.0143929417822932,exp(x14),PySRFunction(X=>exp(x14))
3,495.62003,x11 * 11.94408,2.075214864550672,x11*11.94408,PySRFunction(X=>x11*11.94408)
5,470.35263,x11 * (x12 + 10.903478),0.02616343730650993,x11*(x12 + 10.903478),PySRFunction(X=>x11*(x12 + 10.903478))
6,444.3997,(17.308594 - log(x0)) * x11,0.05675830728532504,x11*(17.308594 - log(x0)),PySRFunction(X=>x11*(17.308594 - log(x0)))
7,395.67368,x11 * ((x0 * -0.011397907) + 14.49696),0.11613455155522885,x11*(14.49696 + x0*(-0.011397907)),PySRFunction(X=>x11*(14.49696 + x0*(-0.011397907)))
8,390.67316,x11 * sqrt((x0 * -0.27899188) + 205.77853),0.012718528651383645,x11*sqrt(205.77853 - 0.27899188*x0),PySRFunction(X=>x11*sqrt(205.77853 - 0.27899188*x0))
9,374.69333,(x12 + ((x0 * -0.011152059) + 13.401288)) * x11,0.04176339775731672,x11*(x0*(-0.011152059) + x12 + 13.401288),PySRFunction(X=>x11*(x0*(-0.011152059) + x12 + 13.401288))
10,348.82483,x11 * (((x0 * -0.0389888) + sqrt(x0)) / 0.5073141),0.07153802830604995,x11*(1.97116539832029*sqrt(x0) - 0.0768533734820302*x0),PySRFunction(X=>x11*(1.97116539832029*sqrt(x0) - 0.0768533734820302*x0))
12,336.03217,(sqrt(x0 + x15) + (x0 * -0.03943337)) * (x11 / 0.54015577),0.01868148850005328,1.85131781522948*x11*(-0.03943337*x0 + sqrt(x0 + x15)),PySRFunction(X=>1.85131781522948*x11*(-0.03943337*x0 + sqrt(x0 + x15)))
13,320.77472,x11 * (((x15 + -11.702882) * ((12.924378 / x5) + -0.97610176)) + 12.084542),0.04646782953293271,x11*((-0.97610176 + 12.924378/x5)*(x15 - 11.702882) + 12.084542),PySRFunction(X=>x11*((-0.97610176 + 12.924378/x5)*(x15 - 11.702882) + 12.084542))
15,318.87643,(((((12.920627 / x5) + -0.97586656) * (x15 + -11.701101)) + 11.974526) * x11) + 1.9803557,0.0029677044634627654,x11*((-0.97586656 + 12.920627/x5)*(x15 - 11.701101) + 11.974526) + 1.9803557,PySRFunction(X=>x11*((-0.97586656 + 12.920627/x5)*(x15 - 11.701101) + 11.974526) + 1.9803557)
17,273.88672,x11 * (exp(x12) + (((-0.3741939 * x15) + inv((x12 + -1.0033072) * x0)) + 14.720859)),0.07604453536133839,x11*(-0.3741939*x15 + exp(x12) + 14.720859 + 1/(x0*(x12 - 1.0033072))),PySRFunction(X=>x11*(-0.3741939*x15 + exp(x12) + 14.720859 + 1/(x0*(x12 - 1.0033072))))
18,269.03894,x11 * ((14.720859 + exp(x12)) + (inv((sqrt(x12) + -1.0033072) * x0) + (x15 * -0.37614924))),0.017858462755449004,x11*(-0.37614924*x15 + exp(x12) + 14.720859 + 1/(x0*(sqrt(x12) - 1.0033072))),PySRFunction(X=>x11*(-0.37614924*x15 + exp(x12) + 14.720859 + 1/(x0*(sqrt(x12) - 1.0033072))))
19,268.92627,x11 * (exp(x12) + (((x15 * -0.3741939) + inv((sqrt(x12) + -1.0033072) * square(x15))) + 14.720859)),0.0004188746764774024,x11*(-0.3741939*x15 + exp(x12) + 14.720859 + 1/(x15**2*(sqrt(x12) - 1.0033072))),PySRFunction(X=>x11*(-0.3741939*x15 + exp(x12) + 14.720859 + 1/(x15**2*(sqrt(x12) - 1.0033072))))
20,267.4569,(x11 + x1) * (exp(x12) + (((x15 * -0.3741939) + inv((sqrt(x12) + -1.0033072) * x0)) + 14.720859)),0.00547882095392137,(x1 + x11)*(-0.3741939*x15 + exp(x12) + 14.720859 + 1/(x0*(sqrt(x12) - 1.0033072))),PySRFunction(X=>(x1 + x11)*(-0.3741939*x15 + exp(x12) + 14.720859 + 1/(x0*(sqrt(x12) - 1.0033072))))
21,267.28525,(x11 + x1) * (((x15 * -0.3741939) + inv(square(x15) * (-1.0033072 + sqrt(x12)))) + (14.720859 + exp(x12))),0.0006419916810204561,(x1 + x11)*(-0.3741939*x15 + exp(x12) + 14.720859 + 1/(x15**2*(sqrt(x12) - 1.0033072))),PySRFunction(X=>(x1 + x11)*(-0.3741939*x15 + exp(x12) + 14.720859 + 1/(x15**2*(sqrt(x12) - 1.0033072))))
22,267.0635,(x11 + (0.36473793 / x8)) * ((14.720859 + exp(x12)) + ((x15 * -0.37614924) + inv((sqrt(x12) + -1.0033072) * x0))),0.0008299823391737607,(x11 + 0.36473793/x8)*(-0.37614924*x15 + exp(x12) + 14.720859 + 1/(x0*(sqrt(x12) - 1.0033072))),PySRFunction(X=>(x11 + 0.36473793/x8)*(-0.37614924*x15 + exp(x12) + 14.720859 + 1/(x0*(sqrt(x12) - 1.0033072))))
