complexity,loss,equation,score,sympy_format,lambda_format,restored_equation
23,195.5126,((((x2 / (x1 + -15.258837)) + (9.39352 - x2)) / ((x0 / (x1 + -14.604293)) + -2.112254)) + 10.064977) * (x3 + -1.3183082),0.050985053973601,(10.064977 + (-x2 + x2/(x1 - 15.258837) + 9.39352)/(x0/(x1 - 14.604293) - 2.112254))*(x3 - 1.3183082),PySRFunction(X=>(10.064977 + (-x2 + x2/(x1 - 15.258837) + 9.39352)/(x0/(x1 - 14.604293) - 2.112254))*(x3 - 1.3183082)),(((((C_pg) / ((C_eth) + -15.258837)) + (9.39352 - (C_pg))) / (((C_pol) / ((C_eth) + -14.604293)) + -2.112254)) + 10.064977) * ((t) + -1.3183082)
25,194.86449,(((10.604904 - (((x2 + -7.391829) / (-15.290134 + x1)) + x2)) / ((20.174345 / (x1 + -16.711681)) + -2.455683)) + 10.604904) * (-1.3210942 + x3),0.0016602167803085,(10.604904 + (10.604904 - (x2 + (x2 - 7.391829)/(x1 - 15.290134)))/(-2.455683 + 20.174345/(x1 - 16.711681)))*(x3 - 1.3210942),PySRFunction(X=>(10.604904 + (10.604904 - (x2 + (x2 - 7.391829)/(x1 - 15.290134)))/(-2.455683 + 20.174345/(x1 - 16.711681)))*(x3 - 1.3210942)),(((10.604904 - ((((C_pg) + -7.391829) / (-15.290134 + (C_eth))) + (C_pg))) / ((20.174345 / ((C_eth) + -16.711681)) + -2.455683)) + 10.604904) * (-1.3210942 + (t))
26,187.39972,(((((x2 / (x1 + -15.225302)) + 9.266569) - x2) / ((24.376303 / (x1 + -14.616643)) + -2.276676)) + 10.321513) * ((inv(x3) + x3) + -1.7712499),0.0390605182428574,(10.321513 + (-x2 + x2/(x1 - 15.225302) + 9.266569)/(-2.276676 + 24.376303/(x1 - 14.616643)))*(x3 - 1.7712499 + 1/x3),PySRFunction(X=>(10.321513 + (-x2 + x2/(x1 - 15.225302) + 9.266569)/(-2.276676 + 24.376303/(x1 - 14.616643)))*(x3 - 1.7712499 + 1/x3)),((((((C_pg) / ((C_eth) + -15.225302)) + 9.266569) - (C_pg)) / ((24.376303 / ((C_eth) + -14.616643)) + -2.276676)) + 10.321513) * ((inv((t)) + (t)) + -1.7712499)
27,173.95897,(((((((x2 / (x1 + -15.220599)) + x1) * (x0 * -0.040153116)) + 23.582836) - x2) / (x0 / (x1 + -15.892022))) + 11.339801) * (x3 + -1.3246373),0.0744244088624504,(11.339801 + ((x1 + x2/(x1 - 15.220599))*x0*(-0.040153116) - x2 + 23.582836)/((x0/(x1 - 15.892022))))*(x3 - 1.3246373),PySRFunction(X=>(11.339801 + ((x1 + x2/(x1 - 15.220599))*x0*(-0.040153116) - x2 + 23.582836)/((x0/(x1 - 15.892022))))*(x3 - 1.3246373)),((((((((C_pg) / ((C_eth) + -15.220599)) + (C_eth)) * ((C_pol) * -0.040153116)) + 23.582836) - (C_pg)) / ((C_pol) / ((C_eth) + -15.892022))) + 11.339801) * ((t) + -1.3246373)
29,164.72421,(x3 * (((20.234722 - ((((x2 + (x0 * -0.18404673)) / (x1 + -15.171272)) + (x1 * 0.60644144)) + x2)) / (x2 / (x1 + -15.681594))) + 11.665971)) - x2,0.0272734229470383,-x2 + x3*(11.665971 + (20.234722 - (x1*0.60644144 + x2 + (x0*(-0.18404673) + x2)/(x1 - 15.171272)))/((x2/(x1 - 15.681594)))),PySRFunction(X=>-x2 + x3*(11.665971 + (20.234722 - (x1*0.60644144 + x2 + (x0*(-0.18404673) + x2)/(x1 - 15.171272)))/((x2/(x1 - 15.681594))))),((t) * (((20.234722 - (((((C_pg) + ((C_pol) * -0.18404673)) / ((C_eth) + -15.171272)) + ((C_eth) * 0.60644144)) + (C_pg))) / ((C_pg) / ((C_eth) + -15.681594))) + 11.665971)) - (C_pg)
31,147.16884,(x3 * (((19.271553 - ((((x1 + (((x0 * -0.3272755) + x2) / (x1 + -15.183248))) * x0) * 0.023550149) + x2)) / (x2 / (x1 + -16.631844))) + 10.830311)) - x2,0.0563460609063472,-x2 + x3*(10.830311 + (19.271553 - ((x1 + (x0*(-0.3272755) + x2)/(x1 - 15.183248))*x0*0.023550149 + x2))/((x2/(x1 - 16.631844)))),PySRFunction(X=>-x2 + x3*(10.830311 + (19.271553 - ((x1 + (x0*(-0.3272755) + x2)/(x1 - 15.183248))*x0*0.023550149 + x2))/((x2/(x1 - 16.631844))))),((t) * (((19.271553 - (((((C_eth) + ((((C_pol) * -0.3272755) + (C_pg)) / ((C_eth) + -15.183248))) * (C_pol)) * 0.023550149) + (C_pg))) / ((C_pg) / ((C_eth) + -16.631844))) + 10.830311)) - (C_pg)
33,131.13074,(x3 + -1.3202816) * (((20.483572 - (x2 + ((x0 * 0.025008759) * ((((x0 * -0.33074608) + x2) / (x1 + -15.173751)) + x1)))) / ((x2 / (x1 + -16.842707)) + -1.3315462)) + 10.9589815),0.0576928291607929,(x3 - 1.3202816)*((20.483572 - (x0*0.025008759*(x1 + (x0*(-0.33074608) + x2)/(x1 - 15.173751)) + x2))/(x2/(x1 - 16.842707) - 1.3315462) + 10.9589815),PySRFunction(X=>(x3 - 1.3202816)*((20.483572 - (x0*0.025008759*(x1 + (x0*(-0.33074608) + x2)/(x1 - 15.173751)) + x2))/(x2/(x1 - 16.842707) - 1.3315462) + 10.9589815)),((t) + -1.3202816) * (((20.483572 - ((C_pg) + (((C_pol) * 0.025008759) * (((((C_pol) * -0.33074608) + (C_pg)) / ((C_eth) + -15.173751)) + (C_eth))))) / (((C_pg) / ((C_eth) + -16.842707)) + -1.3315462)) + 10.9589815)
35,126.02368,(x3 + -1.3202811) * (((20.483572 - (((x0 * 0.025478756) * ((((x0 * -0.33073434) + x2) / (x1 + -15.173938)) + x1)) + x2)) / ((x2 * -0.08229664) + (x2 / (x1 + -16.76436)))) + 10.9589815),0.0198625074903168,(x3 - 1.3202811)*((20.483572 - (x0*0.025478756*(x1 + (x0*(-0.33073434) + x2)/(x1 - 15.173938)) + x2))/(x2*(-0.08229664) + x2/(x1 - 16.76436)) + 10.9589815),PySRFunction(X=>(x3 - 1.3202811)*((20.483572 - (x0*0.025478756*(x1 + (x0*(-0.33073434) + x2)/(x1 - 15.173938)) + x2))/(x2*(-0.08229664) + x2/(x1 - 16.76436)) + 10.9589815)),((t) + -1.3202811) * (((20.483572 - ((((C_pol) * 0.025478756) * (((((C_pol) * -0.33073434) + (C_pg)) / ((C_eth) + -15.173938)) + (C_eth))) + (C_pg))) / (((C_pg) * -0.08229664) + ((C_pg) / ((C_eth) + -16.76436)))) + 10.9589815)
36,123.83414,((inv(x3) - 1.723062) + x3) * (((20.446007 - ((x0 * (((((x0 * -0.33097667) + x2) / (x1 + -15.172695)) + x1) * 0.025042731)) + x2)) / ((x2 / (x1 + -16.764359)) + -1.1817721)) + 11.088979),0.0175267362011762,((20.446007 - (x0*(x1 + (x0*(-0.33097667) + x2)/(x1 - 15.172695))*0.025042731 + x2))/(x2/(x1 - 16.764359) - 1.1817721) + 11.088979)*(x3 - 1*1.723062 + 1/x3),PySRFunction(X=>((20.446007 - (x0*(x1 + (x0*(-0.33097667) + x2)/(x1 - 15.172695))*0.025042731 + x2))/(x2/(x1 - 16.764359) - 1.1817721) + 11.088979)*(x3 - 1*1.723062 + 1/x3)),((inv((t)) - 1.723062) + (t)) * (((20.446007 - (((C_pol) * ((((((C_pol) * -0.33097667) + (C_pg)) / ((C_eth) + -15.172695)) + (C_eth)) * 0.025042731)) + (C_pg))) / (((C_pg) / ((C_eth) + -16.764359)) + -1.1817721)) + 11.088979)
38,118.79092,((x3 + inv(x3)) - 1.7105602) * (((20.446016 - (((x0 * (x1 + (((x0 * -0.33102357) + x2) / (x1 + -15.172693)))) * 0.025330327) + x2)) / ((x2 / (x1 + -16.764357)) + (x2 * -0.0822702))) + 11.088998),0.0207890582846337,((20.446016 - (x0*(x1 + (x0*(-0.33102357) + x2)/(x1 - 15.172693))*0.025330327 + x2))/(x2*(-0.0822702) + x2/(x1 - 16.764357)) + 11.088998)*(x3 - 1*1.7105602 + 1/x3),PySRFunction(X=>((20.446016 - (x0*(x1 + (x0*(-0.33102357) + x2)/(x1 - 15.172693))*0.025330327 + x2))/(x2*(-0.0822702) + x2/(x1 - 16.764357)) + 11.088998)*(x3 - 1*1.7105602 + 1/x3)),(((t) + inv((t))) - 1.7105602) * (((20.446016 - ((((C_pol) * ((C_eth) + ((((C_pol) * -0.33102357) + (C_pg)) / ((C_eth) + -15.172693)))) * 0.025330327) + (C_pg))) / (((C_pg) / ((C_eth) + -16.764357)) + ((C_pg) * -0.0822702))) + 11.088998)
