hyperparam,spearman_r_vs_test_MSE_norm
alpha_complexity,0.1622968136611218
pop_size,0.15833835479133837
init_depth_max,0.11611479351364812
ngen,-0.09764198545465864
cxpb,-0.09236404029494738
tree_len_max,-0.08180814997552481
tournsize,0.044862533857545864
