,MI,Lasso
C_pol,0.0,0.0
C_eth,0.0,0.0
C_pg,0.0,0.0
t,1.652151877316294,83.61177835832997
sqrt(t),1.6470974435944954,0.0
log(t),1.6407137228669986,0.0
1/t,1.6061903857449296,0.0
exp(-t),1.265432890685658,0.0
1-exp(-t),1.2658086950550558,0.0
t^2,1.6493388886739904,15.628048078740681
C_pg * C_eth,0.0,5.271760908469796
C_pg * C_pol,0.0,0.0
C_eth * C_pol,0.0,0.0
C_pg / C_pol,0.0,0.0
C_pg / C_eth,0.0,1.7083370425180948
C_eth / C_pol,0.0,0.0
C_pg^2,0.0,0.0
C_eth^2,0.0,0.0
C_pol^2,0.0,0.0
C_pg * log(t),1.1693578064519956,0.0
C_pg * log(t),1.1366858111829603,0.0
C_eth * log(t),1.3525299925298322,0.0
C_pg * log(t),1.2756000236691505,0.0
C_eth * t,1.394367023073992,0.0
C_pg * t,1.3992457020898774,5.192067674816473
