Variable,Index
C_eth * log(t),0
C_eth * t,1
C_pg * t,2
1/t,3
C_pol,4
1-exp(-t),5
sqrt(t),6
C_pg * C_eth,7
C_pg * log(t),8
C_pg / C_eth,9
exp(-t),10
t^2,11
log(t),12
C_eth,13
C_pg,14
t,15
