complexity,loss,equation,score,sympy_format,lambda_format
1,11697.47,111.36556,0.0,111.365560000000,PySRFunction(X=>111.365560000000)
2,3919.7725,exp(x3),1.093338962700431,exp(x3),PySRFunction(X=>exp(x3))
3,510.42654,x18 * 11.9122505,2.038542166274775,x18*11.9122505,PySRFunction(X=>x18*11.9122505)
5,476.09122,(x9 + 10.849511) * x18,0.034818627292384816,x18*(x9 + 10.849511),PySRFunction(X=>x18*(x9 + 10.849511))
7,409.0079,x18 * ((x7 * -0.0112874) - -14.450728),0.07593750163342798,x18*(x7*(-0.0112874) - 1*(-14.450728)),PySRFunction(X=>x18*(x7*(-0.0112874) - 1*(-14.450728)))
8,389.66174,x18 * (13.304954 - (square(x7) * 2.5154271e-5)),0.04845544182051184,x18*(13.304954 - 2.5154271e-5*x7**2),PySRFunction(X=>x18*(13.304954 - 2.5154271e-5*x7**2))
9,381.0561,x18 * ((x9 + 13.307285) - (x7 * 0.010926381)),0.022332421057331336,x18*(-0.010926381*x7 + x9 + 13.307285),PySRFunction(X=>x18*(-0.010926381*x7 + x9 + 13.307285))
10,362.18863,x18 * ((12.203786 - (square(x7) * 2.444553e-5)) + x9),0.050781454921662715,x18*(-2.444553e-5*x7**2 + x9 + 12.203786),PySRFunction(X=>x18*(-2.444553e-5*x7**2 + x9 + 12.203786))
12,359.89362,(((12.081335 - (square(x7) * 2.4431021e-5)) + x9) * x18) - -2.1780741,0.0031783328393755446,x18*(-2.4431021e-5*x7**2 + x9 + 12.081335) - 1*(-2.1780741),PySRFunction(X=>x18*(-2.4431021e-5*x7**2 + x9 + 12.081335) - 1*(-2.1780741))
14,359.52444,((((10.829474 - (square(x7) * 2.2036413e-5)) + x9) * x18) - -1.9691987) / 0.90501684,0.0005131648104668679,(x18*(-2.2036413e-5*x7**2 + x9 + 10.829474) - 1*(-1.9691987))/0.90501684,PySRFunction(X=>(x18*(-2.2036413e-5*x7**2 + x9 + 10.829474) - 1*(-1.9691987))/0.90501684)
15,323.6009,((x2 - (x11 * (5.4171196e-5 / (x9 + -0.99058926)))) / 0.084567055) - (x0 * x8),0.10527119176865274,-x0*x8 + (-5.4171196e-5*x11/(x9 - 0.99058926) + x2)/0.084567055,PySRFunction(X=>-x0*x8 + (-5.4171196e-5*x11/(x9 - 0.99058926) + x2)/0.084567055)
16,318.68878,(x13 - (inv(x9 + -0.9900522) * 0.0017234207)) * ((x2 / 0.08452806) - (x0 * x8)),0.015295951110714311,(x13 - 0.0017234207/(x9 - 0.9900522))*(-x0*x8 + x2/0.08452806),PySRFunction(X=>(x13 - 0.0017234207/(x9 - 0.9900522))*(-x0*x8 + x2/0.08452806))
17,315.08228,(x13 - (inv(square(x9) + -0.99002635) * 0.0017713131)) * ((x2 / 0.084574364) - (x8 * x0)),0.01138120421472643,(x13 - 0.0017713131/(x9**2 - 0.99002635))*(-x0*x8 + x2/0.084574364),PySRFunction(X=>(x13 - 0.0017713131/(x9**2 - 0.99002635))*(-x0*x8 + x2/0.084574364))
18,313.46005,(x13 - (inv(square(square(x9)) + -0.9900522) * 0.0017754972)) * ((x2 / 0.0845707) - (x8 * x0)),0.005161891330505762,(x13 - 0.0017754972/(x9**4 - 0.9900522))*(-x0*x8 + x2/0.0845707),PySRFunction(X=>(x13 - 0.0017754972/(x9**4 - 0.9900522))*(-x0*x8 + x2/0.0845707))
