complexity,loss,equation,score,sympy_format,lambda_format
1,10724.615,x14,0.0,x14,PySRFunction(X=>x14)
2,3919.7725,exp(x3),1.0065079503299066,exp(x3),PySRFunction(X=>exp(x3))
3,510.42654,x18 * 11.911472,2.038542166274775,x18*11.911472,PySRFunction(X=>x18*11.911472)
5,476.09122,x18 * (x9 + 10.849511),0.034818627292384816,x18*(x9 + 10.849511),PySRFunction(X=>x18*(x9 + 10.849511))
6,439.74118,x18 * (15.762831 - sqrt(x0)),0.07942314796049776,x18*(15.762831 - sqrt(x0)),PySRFunction(X=>x18*(15.762831 - sqrt(x0)))
7,409.00793,((x7 * -0.011287429) - -14.450736) * x18,0.07245178195814442,x18*(x7*(-0.011287429) - 1*(-14.450736)),PySRFunction(X=>x18*(x7*(-0.011287429) - 1*(-14.450736)))
8,404.0173,sqrt((x7 * -0.27580604) + 204.56973) * x18,0.012276845781396598,x18*sqrt(204.56973 - 0.27580604*x7),PySRFunction(X=>x18*sqrt(204.56973 - 0.27580604*x7))
9,381.056,x18 * (((x7 * -0.0109263165) + x9) + 13.307276),0.058511352873245416,x18*(x7*(-0.0109263165) + x9 + 13.307276),PySRFunction(X=>x18*(x7*(-0.0109263165) + x9 + 13.307276))
10,361.84723,(sqrt(x7 * 3.8748462) + (x7 * -0.07671844)) * x18,0.05172423977612699,x18*(1.96846290287625*sqrt(x7) - 0.07671844*x7),PySRFunction(X=>x18*(1.96846290287625*sqrt(x7) - 0.07671844*x7))
11,337.18863,((((x7 * -0.08328046) + x0) * 0.8475009) + x4) * x18,0.07057959947913268,x18*(x4 + (x0 + x7*(-0.08328046))*0.8475009),PySRFunction(X=>x18*(x4 + (x0 + x7*(-0.08328046))*0.8475009))
13,322.48474,x18 * ((-941.8583 / x7) + (x9 + ((x7 * -0.031581722) + 22.58041))),0.02229334470557545,x18*(x7*(-0.031581722) + x9 + 22.58041 - 941.8583/x7),PySRFunction(X=>x18*(x7*(-0.031581722) + x9 + 22.58041 - 941.8583/x7))
15,300.76547,((x7 * -0.010685543) + (14.710512 - (1.7593817 / ((x0 * 3.9219608) - 57.73985)))) * x18,0.03486251284173104,x18*(x7*(-0.010685543) + 14.710512 - 1.7593817/(x0*3.9219608 - 1*57.73985)),PySRFunction(X=>x18*(x7*(-0.010685543) + 14.710512 - 1.7593817/(x0*3.9219608 - 1*57.73985)))
