Original Structure,Feature Expression
x0 * -0.2447311,C_eth * -0.2447311
1.3073072 - x9,1.3073072 - C_pg / C_eth
1.2988392 - x9,1.2988392 - C_pg / C_eth
x0 * -0.23049879,C_eth * -0.23049879
1.3048352 - x9,1.3048352 - C_pg / C_eth
x0 * -0.23973683,C_eth * -0.23973683
