C1,C2,objective
20.0,10.0,2188.6106419351554
20.0,10.112359550561798,2184.3356159103823
20.0,10.224719101123595,2180.0244389208215
20.0,10.337078651685394,2175.677092241334
20.0,10.44943820224719,2171.2935557998408
20.0,10.561797752808989,2166.8738082348477
20.0,10.674157303370787,2162.4178269537633
20.0,10.786516853932584,2157.9255881920626
20.0,10.898876404494382,2153.39706707337
20.0,11.01123595505618,2148.8322376705137
20.0,11.123595505617978,2144.2310730676118
20.0,11.235955056179776,2139.593545423265
20.0,11.348314606741573,2134.9196260349054
20.0,11.460674157303371,2130.2092854043713
20.0,11.573033707865168,2125.4624933047767
20.0,11.685393258426966,2120.6792188487325
20.0,11.797752808988765,2115.8594305579977
20.0,11.910112359550562,2111.0030964346142
20.0,12.02247191011236,2106.1101840336064
20.0,12.134831460674157,2101.180660537308
20.0,12.247191011235955,2096.214492831381
20.0,12.359550561797754,2091.2116475826156
20.0,12.47191011235955,2086.1720913185586
20.0,12.584269662921349,2081.0957905090627
20.0,12.696629213483146,2075.9827116498204
20.0,12.808988764044944,2070.8328213479545
20.0,12.921348314606742,2065.646086409753
20.0,13.03370786516854,2060.422473930608
20.0,13.146067415730336,2055.1619513872406
20.0,13.258426966292134,2049.864486732299
20.0,13.370786516853933,2044.5300484913903
20.0,13.483146067415731,2039.1586058626342
20.0,13.595505617977528,2033.7501288188196
20.0,13.707865168539325,2028.3045882122335
20.0,13.820224719101123,2022.8219558822525
20.0,13.932584269662922,2017.302204765764
20.0,14.04494382022472,2011.74530901051
20.0,14.157303370786517,2006.1512440914266
20.0,14.269662921348313,2000.5199869300543
20.0,14.382022471910112,1994.8515160171066
20.0,14.49438202247191,1989.145811538276
20.0,14.606741573033709,1983.4028555033456
20.0,14.719101123595506,1977.622631878696
20.0,14.831460674157302,1971.805126723277
20.0,14.9438202247191,1965.9503283281258
20.0,15.0561797752809,1960.0582273594946
20.0,15.168539325842698,1954.1288170056785
20.0,15.280898876404494,1948.1620931275943
20.0,15.393258426966291,1942.1580544132
20.0,15.50561797752809,1936.1167025358009
20.0,15.617977528089888,1930.038042316323
20.0,15.730337078651687,1923.9220818896074
20.0,15.842696629213483,1917.7688328747822
20.0,15.95505617977528,1911.5783105497678
20.0,16.06741573033708,1905.3505340299696
20.0,16.179775280898877,1899.0855264511956
20.0,16.29213483146067,1892.7833151568454
20.0,16.40449438202247,1886.4439318894051
20.0,16.51685393258427,1880.0674129862753
20.0,16.629213483146067,1873.6537995799558
20.0,16.741573033707866,1867.203137802609
20.0,16.853932584269664,1860.7154789949998
20.0,16.966292134831463,1854.1908799198247
20.0,17.078651685393258,1847.629402979415
20.0,17.191011235955056,1841.031116437799
20.0,17.303370786516854,1834.3960946471018
20.0,17.41573033707865,1827.7244182782351
20.0,17.528089887640448,1821.0161745558407
20.0,17.640449438202246,1814.27145749742
20.0,17.752808988764045,1807.4903681565795
20.0,17.865168539325843,1800.6730148703061
20.0,17.97752808988764,1793.8195135101741
20.0,18.08988764044944,1786.9299877373649
20.0,18.202247191011235,1780.0045692613708
20.0,18.314606741573034,1773.04339810224
20.0,18.426966292134832,1766.0466228561895
20.0,18.539325842696627,1759.0144009644134
20.0,18.651685393258425,1751.946898984874
20.0,18.764044943820224,1744.8442928668649
20.0,18.876404494382022,1737.7067682280958
20.0,18.98876404494382,1730.5345206340403
20.0,19.10112359550562,1723.3277558792577
20.0,19.213483146067418,1716.0866902703817
20.0,19.325842696629213,1708.8115509104416
20.0,19.43820224719101,1701.502575984155
20.0,19.550561797752806,1694.160015043821
20.0,19.662921348314605,1686.7841292953854
20.0,19.775280898876403,1679.375191884264
20.0,19.8876404494382,1671.9334881804393
20.0,20.0,1664.4593160623588
20.1123595505618,10.0,2198.8251579009275
20.1123595505618,10.112359550561798,2194.63770816906
20.1123595505618,10.224719101123595,2190.41414693256
20.1123595505618,10.337078651685394,2186.1544589662726
20.1123595505618,10.44943820224719,2181.8586275615667
20.1123595505618,10.561797752808989,2177.5266345821833
20.1123595505618,10.674157303370787,2173.1584605207377
20.1123595505618,10.786516853932584,2168.754084555919
20.1123595505618,10.898876404494382,2164.313484610469
20.1123595505618,11.01123595505618,2159.836637409976
20.1123595505618,11.123595505617978,2155.323518542563
20.1123595505618,11.235955056179776,2150.774102519519
20.1123595505618,11.348314606741573,2146.188362836943
20.1123595505618,11.460674157303371,2141.5662720384594
20.1123595505618,11.573033707865168,2136.9078017790616
20.1123595505618,11.685393258426966,2132.2129228901686
20.1123595505618,11.797752808988765,2127.481605445929
20.1123595505618,11.910112359550562,2122.713818830867
20.1123595505618,12.02247191011236,2117.90953180891
20.1123595505618,12.134831460674157,2113.0687125938957
20.1123595505618,12.247191011235955,2108.191328921591
20.1123595505618,12.359550561797754,2103.2773481233235
20.1123595505618,12.47191011235955,2098.326737201271
20.1123595505618,12.584269662921349,2093.3394629055006
20.1123595505618,12.696629213483146,2088.31549181281
