Q_obs,Q_pred,time_h,_rid,AUC_obs,AUC_pred,rank_Q6_pred,rank_AUC_pred,rank_consensus_raw,rank_consensus,rank_agree_gap,gap_Q6_next,edge_score,score_gap,score_edge,score_agree,score_overall
3008.198195,2191.061042,6.0,9,9200.8267426,6957.380725104,1,1,1.0,1,0,5.605282999999872,,0.09199457855596227,,,0.045997289277981135
3092.064125,2185.455759,6.0,5,9329.6445689,6918.17367492075,2,2,2.0,2,0,0.08905499999991662,,0.0014495954648185369,,,0.0007247977324092684
3305.135581,2185.366704,6.0,4,9322.177485775,6917.5540206962505,3,3,3.0,3,0,0.005231999999978143,,7.370017592847794e-05,,,3.685008796423897e-05
3058.493411,2185.361472,6.0,2,8909.049482075,6917.542096948751,4,4,4.0,4,0,0.0007420000001729932,,0.0,,,0.0
3239.848711,2185.36073,6.0,0,9904.090508700001,6917.514082362,5,5,5.0,5,0,0.00183999999990192,,1.802289379799608e-05,,,9.01144689899804e-06
2871.562143,2185.35889,6.0,1,8137.898575200001,6917.5078265662505,6,6,6.0,6,0,0.0008219999999710126,,1.3131434431287519e-06,,,6.565717215643759e-07
3234.401436,2185.358068,6.0,3,10071.7029009,6917.499773940501,7,7,7.0,7,0,0.6394129999998768,,0.010483332976044049,,,0.0052416664880220246
2963.245181,2184.718655,6.0,6,7641.32029675,6912.429261243001,8,8,8.0,8,0,25.98803399999997,,0.42656302725786815,,,0.21328151362893408
2983.096187,2158.730621,6.0,8,9596.471721225,6726.221879082749,9,9,9.0,9,0,60.92325600000004,,1.0,,,0.5
1962.317567,2097.807365,6.0,10,5712.659515339999,6260.799152088501,10,10,10.0,10,0,2.354403000000275,,0.03863368146626561,,,0.019316840733132806
2158.756075,2095.452962,6.0,11,6030.4284999599995,6241.770279103001,11,11,11.0,11,0,25.46769099999983,,0.4180219647534525,,,0.20901098237672625
1968.508276,2069.985271,6.0,7,6023.138780025,6028.07395049375,12,12,12.0,12,0,,,,,,0.0
