Variable,Index
exp(C_pg * C_eth / 238.5248),0
C_pol,1
t,2
C_eth,3
C_pg,4
C_pg / C_eth,5
log(t),6
exp(-t),7
C_pg * t,8
C_pg * log(t),9
C_eth * log(t),10
1/t,11
1-exp(-t),12
sqrt(t),13
t - sqrt(t),14
C_eth * t,15
