,MI,Lasso
C_pol,0.0,0.0
C_eth,0.0,0.0
C_pg,0.0,0.0
t,1.652151877316294,46.31232563070939
sqrt(t),1.6464933850958583,0.0
log(t),1.6271492300559927,0.0
1/t,1.609526522565457,0.0
exp(-t),1.2662884938107195,0.0
1-exp(-t),1.265290719510954,0.0
C_pg * C_eth,0.0,5.269605303544007
C_pg * C_pol,0.0,0.0
C_eth * C_pol,0.0,0.0
C_pg / C_pol,0.0,0.0
C_pg / C_eth,0.0,1.7044719589107447
C_eth / C_pol,0.0,0.0
C_pg^2,0.0,0.0
C_eth^2,0.0,0.0
C_pol^2,0.0,0.0
C_pg * log(t),1.167592177499154,0.0
C_pg * log(t),1.1398626795473157,0.0
C_eth * log(t),1.3497915904339552,0.0
C_pg * log(t),1.2766901854736146,0.0
C_eth * t,1.3938244572201381,0.0
C_pg * t,1.3977716747505866,5.390670322783805
t - sqrt(t),1.652151877316294,52.593458069491035
sqrt(C_pg / C_eth),0.0,0.0
log(C_pg / C_eth),0.0,0.0
inv(C_pg / C_eth),0.0,0.0
sqrt(C_pg * C_eth),0.0,0.0
log(C_pg * C_eth),0.0,0.0
C_pol / C_pg,0.0,0.0
