complexity,loss,equation,score,sympy_format,lambda_format,restored_equation
1,10888.009,x4,0.0,x4,PySRFunction(X=>x4),(C_eth * log(t))
2,3948.237,exp(x5),1.0143929417822932,exp(x5),PySRFunction(X=>exp(x5)),exp((sqrt(t)))
3,576.34656,x2 * 9.44371,1.924315282713019,x2*9.44371,PySRFunction(X=>x2*9.44371),(t) * 9.44371
5,479.7468,(x2 * 10.156036) - x11,0.0917253408544361,-x11 + x2*10.156036,PySRFunction(X=>-x11 + x2*10.156036),((t) * 10.156036) - (C_eth)
7,425.98492,(x2 * (x0 + 10.418854)) - x10,0.0594272590715448,-x10 + x2*(x0 + 10.418854),PySRFunction(X=>-x10 + x2*(x0 + 10.418854)),((t) * ((C_pg / C_eth) + 10.418854)) - (C_pg * log(t))
8,398.72443,(x2 * (square(x0) + 10.238935)) - x10,0.066133419930692,-x10 + x2*(x0**2 + 10.238935),PySRFunction(X=>-x10 + x2*(x0**2 + 10.238935)),((t) * (square((C_pg / C_eth)) + 10.238935)) - (C_pg * log(t))
10,386.9709,(x2 * (square(x0 - 0.28392357) + 10.749253)) - x10,0.0149605151234735,-x10 + x2*((x0 - 1*0.28392357)**2 + 10.749253),PySRFunction(X=>-x10 + x2*((x0 - 1*0.28392357)**2 + 10.749253)),((t) * (square((C_pg / C_eth) - 0.28392357) + 10.749253)) - (C_pg * log(t))
11,386.97086,(square(x5) * (square(x0 - 0.28392357) + 10.749253)) - x10,1.033669509009326e-07,-x10 + x5**2*((x0 - 1*0.28392357)**2 + 10.749253),PySRFunction(X=>-x10 + x5**2*((x0 - 1*0.28392357)**2 + 10.749253)),(square((sqrt(t))) * (square((C_pg / C_eth) - 0.28392357) + 10.749253)) - (C_pg * log(t))
12,380.69812,((x2 * (square(x0 - 0.2838724) + 10.754755)) - x10) * x3,0.0163426679325323,x3*(-x10 + x2*((x0 - 1*0.2838724)**2 + 10.754755)),PySRFunction(X=>x3*(-x10 + x2*((x0 - 1*0.2838724)**2 + 10.754755))),(((t) * (square((C_pg / C_eth) - 0.2838724) + 10.754755)) - (C_pg * log(t))) * (1-exp(-t))
13,369.4411,((x2 + (((x0 - 2.5653262) * x7) * 0.011714359)) - x3) * 13.513426,0.0300154020234726,(x2 - x3 + (x0 - 1*2.5653262)*x7*0.011714359)*13.513426,PySRFunction(X=>(x2 - x3 + (x0 - 1*2.5653262)*x7*0.011714359)*13.513426),(((t) + ((((C_pg / C_eth) - 2.5653262) * (C_eth * t)) * 0.011714359)) - (1-exp(-t))) * 13.513426
15,330.40033,(((11.411565 - x8) * ((x11 - 13.86362) * 0.052604113)) - -10.207305) * (x2 + -1.3202579),0.0558431413227552,(x2 - 1.3202579)*((11.411565 - x8)*(x11 - 1*13.86362)*0.052604113 - 1*(-10.207305)),PySRFunction(X=>(x2 - 1.3202579)*((11.411565 - x8)*(x11 - 1*13.86362)*0.052604113 - 1*(-10.207305))),(((11.411565 - (C_pg)) * (((C_eth) - 13.86362) * 0.052604113)) - -10.207305) * ((t) + -1.3202579)
16,330.4003,((((11.411565 - x8) * (x11 - 13.86362)) * 0.052604113) - -10.207305) * (exp(x13) + -1.3202579),9.079894482174541e-08,((11.411565 - x8)*(x11 - 1*13.86362)*0.052604113 - 1*(-10.207305))*(exp(x13) - 1.3202579),PySRFunction(X=>((11.411565 - x8)*(x11 - 1*13.86362)*0.052604113 - 1*(-10.207305))*(exp(x13) - 1.3202579)),((((11.411565 - (C_pg)) * ((C_eth) - 13.86362)) * 0.052604113) - -10.207305) * (exp((log(t))) + -1.3202579)
17,322.95673,x13 * ((x2 * ((((x11 - 13.869623) * (11.407039 - x8)) * 0.015584542) - -2.659671)) + 8.61313),0.0227865982361901,x13*(x2*((x11 - 1*13.869623)*(11.407039 - x8)*0.015584542 - 1*(-2.659671)) + 8.61313),PySRFunction(X=>x13*(x2*((x11 - 1*13.869623)*(11.407039 - x8)*0.015584542 - 1*(-2.659671)) + 8.61313)),(log(t)) * (((t) * (((((C_eth) - 13.869623) * (11.407039 - (C_pg))) * 0.015584542) - -2.659671)) + 8.61313)
