Original Structure,Feature Expression
exp(x13),exp(log(t))
x0 - 0.28392357,C_pg / C_eth - 0.28392357
11.411565 - x8,11.411565 - C_pg
x11 - 13.86362,C_eth - 13.86362
x11 - 13.869623,C_eth - 13.869623
11.407039 - x8,11.407039 - C_pg
14.275915 - x11,14.275915 - C_eth
x11 - 15.084822,C_eth - 15.084822
inv(x11 - 15.084822),inv(C_eth - 15.084822)
