,MI,Lasso
C_pol,0.0,0.0
C_eth,0.0,0.0
C_pg,0.0,0.0
t,1.6425390815643448,103.59996826284507
sqrt(t),1.639298697589733,0.0
log(t),1.6294343738424044,0.0
1/t,1.6169143237907806,0.0
exp(-t),1.2777793947413485,0.8805519923468504
1-exp(-t),1.2780978159744103,2.90775950326441e-14
C_pg * C_eth,0.0,5.731096607849662
C_pg * C_pol,0.0,0.0
C_eth * C_pol,0.0,0.0
C_pg / C_pol,0.0,0.0
C_pg / C_eth,0.0,1.7836506634173557
C_eth / C_pol,0.0,0.0
C_pg^2,0.0,0.0
C_eth^2,0.0,0.0
C_pol^2,0.0,0.0
C_pg * log(t),1.1774713805204042,0.0
C_pg * log(t),1.160862304269262,0.0
C_eth * log(t),1.3433643772244057,0.0
C_pg * log(t),1.2968179981681804,0.0
C_eth * t,1.3821061363676317,0.0
C_pg * t,1.4137336855655396,1.9027048191799936
