Variable,Index
C_pg * C_eth * -5.6564804e-5 * C_eth,0
inv(C_pg * C_eth) * 50.729774,1
sqrt(t),2
C_pg * log(t),3
t - sqrt(t),4
log(t),5
C_pg * C_pol,6
1/t,7
log(inv(1/t)),8
sqrt(C_pg * log(t)),9
log(C_pg * t),10
inv(C_eth - 15.084822) / C_pol - -2.4267037,11
t,12
C_eth * log(t),13
C_pg,14
C_eth * t,15
C_eth,16
inv(C_eth - 15.084822) / C_pol,17
1-exp(-t),18
exp(log(t)),19
sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997),20
exp(log(t)) - C_pg / C_eth,21
exp(-t),22
inv(1/t),23
C_pg * t,24
C_pol,25
