complexity,loss,equation,score,sympy_format,lambda_format,restored_equation
1,10888.009,x13,0.0,x13,PySRFunction(X=>x13),(C_eth * log(t))
2,3948.237,exp(x2),1.0143929417822932,exp(x2),PySRFunction(X=>exp(x2)),exp((sqrt(t)))
3,495.62,x4 * 11.944034,2.075214925080915,x4*11.944034,PySRFunction(X=>x4*11.944034),(t - sqrt(t)) * 11.944034
5,394.59677,(x20 * 8.003722) * x4,0.1139725480075683,x20*8.003722*x4,PySRFunction(X=>x20*8.003722*x4),((sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997)) * 8.003722) * (t - sqrt(t))
6,387.29272,square(x0 + 3.656711) * x4,0.0186836185050085,x4*(x0 + 3.656711)**2,PySRFunction(X=>x4*(x0 + 3.656711)**2),square((C_pg * C_eth * -5.6564804e-5 * C_eth) + 3.656711) * (t - sqrt(t))
7,255.98999,x4 * ((x20 + x0) * 9.251582),0.4140424473931203,x4*(x0 + x20)*9.251582,PySRFunction(X=>x4*(x0 + x20)*9.251582),(t - sqrt(t)) * (((sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997)) + (C_pg * C_eth * -5.6564804e-5 * C_eth)) * 9.251582)
9,245.97238,x4 * ((x0 + x20) * (9.511392 - x1)),0.0199595444732236,x4*(9.511392 - x1)*(x0 + x20),PySRFunction(X=>x4*(9.511392 - x1)*(x0 + x20)),(t - sqrt(t)) * (((C_pg * C_eth * -5.6564804e-5 * C_eth) + (sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997))) * (9.511392 - (inv(C_pg * C_eth) * 50.729774)))
10,222.69298,x4 * ((x20 + (x0 - square(x1))) * 9.790797),0.0994252016668545,x4*(x0 - x1**2 + x20)*9.790797,PySRFunction(X=>x4*(x0 - x1**2 + x20)*9.790797),(t - sqrt(t)) * (((sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997)) + ((C_pg * C_eth * -5.6564804e-5 * C_eth) - square((inv(C_pg * C_eth) * 50.729774)))) * 9.790797)
11,209.01535,x4 * (square((x20 - square(x1)) + x0) * 7.897401),0.0633863572953371,x4*(x0 - x1**2 + x20)**2*7.897401,PySRFunction(X=>x4*(x0 - x1**2 + x20)**2*7.897401),(t - sqrt(t)) * (square(((sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997)) - square((inv(C_pg * C_eth) * 50.729774))) + (C_pg * C_eth * -5.6564804e-5 * C_eth)) * 7.897401)
12,184.7229,x4 * ((((x20 + x0) - square(x1)) * 15.028287) - 6.443784),0.1235508298839466,x4*((x0 - x1**2 + x20)*15.028287 - 1*6.443784),PySRFunction(X=>x4*((x0 - x1**2 + x20)*15.028287 - 1*6.443784)),(t - sqrt(t)) * (((((sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997)) + (C_pg * C_eth * -5.6564804e-5 * C_eth)) - square((inv(C_pg * C_eth) * 50.729774))) * 15.028287) - 6.443784)
14,160.48373,(x20 + ((x0 * 1.8290529) + (inv(x0) * 0.03281574))) * (x4 * 13.043896),0.0703321488223947,(x0*1.8290529 + x20 + 0.03281574/x0)*x4*13.043896,PySRFunction(X=>(x0*1.8290529 + x20 + 0.03281574/x0)*x4*13.043896),((sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997)) + (((C_pg * C_eth * -5.6564804e-5 * C_eth) * 1.8290529) + (inv((C_pg * C_eth * -5.6564804e-5 * C_eth)) * 0.03281574))) * ((t - sqrt(t)) * 13.043896)
16,153.4214,14.101605 * (((x20 - (inv(x0) * -0.035666216)) + (x0 * (2.3263063 + x0))) * x4),0.0225020914743344,14.101605*x4*(x0*(x0 + 2.3263063) + x20 - (-0.035666216)/x0),PySRFunction(X=>14.101605*x4*(x0*(x0 + 2.3263063) + x20 - (-0.035666216)/x0)),14.101605 * ((((sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997)) - (inv((C_pg * C_eth * -5.6564804e-5 * C_eth)) * -0.035666216)) + ((C_pg * C_eth * -5.6564804e-5 * C_eth) * (2.3263063 + (C_pg * C_eth * -5.6564804e-5 * C_eth)))) * (t - sqrt(t)))
17,152.00558,exp(x0) * ((x0 + ((x20 - (inv(x0) * -0.032009225)) + -0.28439987)) * (x4 * 18.106775)),0.0092711530677551,exp(x0)*(x0 + x20 - 0.28439987 - (-0.032009225)/x0)*x4*18.106775,PySRFunction(X=>exp(x0)*(x0 + x20 - 0.28439987 - (-0.032009225)/x0)*x4*18.106775),exp((C_pg * C_eth * -5.6564804e-5 * C_eth)) * (((C_pg * C_eth * -5.6564804e-5 * C_eth) + (((sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997)) - (inv((C_pg * C_eth * -5.6564804e-5 * C_eth)) * -0.032009225)) + -0.28439987)) * ((t - sqrt(t)) * 18.106775))
18,151.08359,(((((x20 + x0) * (inv(x0 + 0.02901234) + 175.01643)) + -106.38756) * 0.1094041) - x17) * x4,0.0060839708916708,x4*(-x17 + ((175.01643 + 1/(x0 + 0.02901234))*(x0 + x20) - 106.38756)*0.1094041),PySRFunction(X=>x4*(-x17 + ((175.01643 + 1/(x0 + 0.02901234))*(x0 + x20) - 106.38756)*0.1094041)),((((((sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997)) + (C_pg * C_eth * -5.6564804e-5 * C_eth)) * (inv((C_pg * C_eth * -5.6564804e-5 * C_eth) + 0.02901234) + 175.01643)) + -106.38756) * 0.1094041) - (inv(C_eth - 15.084822) / C_pol)) * (t - sqrt(t))
19,149.70685,((17.829828 * (exp(x0) * x4)) + x11) * (x0 + ((x20 - (inv(x0) * -0.031958625)) + -0.27933592)),0.0091542112453647,(x11 + 17.829828*x4*exp(x0))*(x0 + x20 - 0.27933592 - (-0.031958625)/x0),PySRFunction(X=>(x11 + 17.829828*x4*exp(x0))*(x0 + x20 - 0.27933592 - (-0.031958625)/x0)),((17.829828 * (exp((C_pg * C_eth * -5.6564804e-5 * C_eth)) * (t - sqrt(t)))) + (inv(C_eth - 15.084822) / C_pol - -2.4267037)) * ((C_pg * C_eth * -5.6564804e-5 * C_eth) + (((sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997)) - (inv((C_pg * C_eth * -5.6564804e-5 * C_eth)) * -0.031958625)) + -0.27933592))
20,149.11186,((((((x20 + x0) * (inv(x0 + 0.02920051) + 175.01643)) + -106.747314) * 0.10884046) - x17) * x4) + 1.9541622,0.0039822860242514,x4*(-x17 + ((175.01643 + 1/(x0 + 0.02920051))*(x0 + x20) - 106.747314)*0.10884046) + 1.9541622,PySRFunction(X=>x4*(-x17 + ((175.01643 + 1/(x0 + 0.02920051))*(x0 + x20) - 106.747314)*0.10884046) + 1.9541622),(((((((sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997)) + (C_pg * C_eth * -5.6564804e-5 * C_eth)) * (inv((C_pg * C_eth * -5.6564804e-5 * C_eth) + 0.02920051) + 175.01643)) + -106.747314) * 0.10884046) - (inv(C_eth - 15.084822) / C_pol)) * (t - sqrt(t))) + 1.9541622
21,147.8899,(x4 * (inv(x0 + 0.030246349) + ((((x0 + x20) * 121.65973) + (square(x17) * x14)) + -73.64817))) * 0.1577939,0.0082286845372817,x4*(x14*x17**2 + (x0 + x20)*121.65973 - 73.64817 + 1/(x0 + 0.030246349))*0.1577939,PySRFunction(X=>x4*(x14*x17**2 + (x0 + x20)*121.65973 - 73.64817 + 1/(x0 + 0.030246349))*0.1577939),((t - sqrt(t)) * (inv((C_pg * C_eth * -5.6564804e-5 * C_eth) + 0.030246349) + (((((C_pg * C_eth * -5.6564804e-5 * C_eth) + (sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997))) * 121.65973) + (square((inv(C_eth - 15.084822) / C_pol)) * (C_pg))) + -73.64817))) * 0.1577939
22,144.58856,x4 * ((((inv(x0 + 0.02951754) + -79.214874) + ((x0 + x20) * 119.415855)) * 0.17618442) + (square(square(x17)) * x14)),0.0225758862047318,x4*(x14*x17**4 + ((x0 + x20)*119.415855 - 79.214874 + 1/(x0 + 0.02951754))*0.17618442),PySRFunction(X=>x4*(x14*x17**4 + ((x0 + x20)*119.415855 - 79.214874 + 1/(x0 + 0.02951754))*0.17618442)),(t - sqrt(t)) * ((((inv((C_pg * C_eth * -5.6564804e-5 * C_eth) + 0.02951754) + -79.214874) + (((C_pg * C_eth * -5.6564804e-5 * C_eth) + (sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997))) * 119.415855)) * 0.17618442) + (square(square((inv(C_eth - 15.084822) / C_pol))) * (C_pg)))
