Variable,Index
C_pg / C_eth,0
C_pg * C_eth,1
t,2
1-exp(-t),3
C_eth * log(t),4
sqrt(t),5
1/t,6
C_eth * t,7
C_pg,8
exp(-t),9
C_pg * log(t),10
C_eth,11
C_pg * t,12
log(t),13
C_pol,14
