,MI,Lasso
C_pol,0.0,0.0
C_eth,0.0,0.0
C_pg,0.0,0.0
t,1.6425390815643448,106.01780483150026
sqrt(t),1.639458608059538,0.0
log(t),1.6323439334110788,0.0
1/t,1.610466731987709,0.0
exp(-t),1.2779467141932856,0.0
1-exp(-t),1.2775898784835327,0.0
C_pg * C_eth,0.0,20.957296425295862
C_pg * C_pol,0.0,22.833556287937174
C_eth * C_pol,0.0,0.0
C_pg / C_pol,0.0,0.0
C_pg / C_eth,0.0,0.12379802203995999
C_eth / C_pol,0.0,1.3492464657301382
C_pg^2,0.0,22.46806709570373
C_eth^2,0.0,9.939863197046076
C_pol^2,0.0,10.50253752847291
C_pg * log(t),1.1761728116094647,9.058666484153093
C_pg * log(t),1.1667624753342136,0.8753606503687577
C_eth * log(t),1.3472869383303654,0.0
C_pg * log(t),1.3004868828081895,23.27031377314261
C_eth * t,1.385607135210933,1.4066785037248444
C_pg * t,1.410773387909094,0.0
exp(log(t)),1.6425390815643448,31.768716145143152
C_pg / C_eth - 0.28392357,0.0,7.7832127485488956
11.411565 - C_pg,0.0,0.0
C_eth - 13.86362,0.0,0.0
C_eth - 13.869623,0.0,0.0
11.407039 - C_pg,0.0,0.0
14.275915 - C_eth,0.0,0.0
C_eth - 15.084822,0.0,0.0
inv(C_eth - 15.084822),0.0,0.0
sqrt(C_pg * C_eth),0.0,0.0
sqrt(C_pg * log(t)),1.1401454047387336,0.0
inv(C_eth - 15.084822) - C_eth,0.0,0.0
inv(C_pg * C_eth),0.0,24.33600398239991
inv(C_eth - 15.084822) / C_pol,0.0,11.191167379224218
