,MI,Lasso
C_pol,0.0,0.0
C_eth,0.0,0.0
C_pg,0.0,0.0
t,1.6425390815643448,71.49726598236704
sqrt(t),1.6371302254779245,0.0
log(t),1.620245601810041,0.0
1/t,1.6139404507426558,0.0
exp(-t),1.2781212651716334,0.04607912463571995
1-exp(-t),1.2779733067544627,2.34151159999713e-13
C_pg * C_eth,0.0,0.0
C_pg * C_pol,0.0,2.54644007020361
C_eth * C_pol,0.0,0.0
C_pg / C_pol,0.0,0.0
C_pg / C_eth,0.0,0.0
C_eth / C_pol,0.0,0.0
C_pg^2,0.0,0.0
C_eth^2,0.0,0.0
C_pol^2,0.0,0.0
C_pg * log(t),1.174724603039464,0.0
C_pg * log(t),1.1710100160895043,4.553582033360162
C_eth * log(t),1.3424077910441201,0.0
C_pg * log(t),1.3035821306228454,0.0
C_eth * t,1.3877019229018743,0.0
C_pg * t,1.4106290163965136,2.0887278771599944
exp(log(t)),1.6425390815643448,1.910766076416379
C_pg / C_eth - 0.28392357,0.0,0.0
11.411565 - C_pg,0.0,0.0
C_eth - 13.86362,0.0,0.0
C_eth - 13.869623,0.0,0.0
11.407039 - C_pg,0.0,0.0
14.275915 - C_eth,0.0,0.0
C_eth - 15.084822,0.0,0.0
inv(C_eth - 15.084822),0.0,0.0
sqrt(C_pg * C_eth),0.0,0.0
sqrt(C_pg * log(t)),1.1373137965536837,0.0
inv(C_eth - 15.084822) - C_eth,0.0,0.0
inv(C_pg * C_eth),0.0,0.0
inv(C_eth - 15.084822) / C_pol,0.0,4.397066452713382
inv(1/t),1.6425390815643448,0.0
inv(C_eth - 15.084822) / C_pol - -10.28436,0.0,4.045502394616894e-12
exp(log(t)) - C_pg / C_eth,1.4513431198235782,19.413571871671902
inv(C_eth - 15.084822) / C_pol - -2.4267037,0.0,0.02018036143262167
C_pg * C_eth * -5.6564804e-5,0.0,0.0
inv(C_eth - 15.084822) / C_pol - -2.3647997,0.0,1.839759114283458e-12
3.761387e-5 / inv(C_pg * C_eth),0.0,0.0
t - sqrt(t),1.6425390815643448,14.5819826252874
sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997),0.0,4.1670334315862805
C_pg * C_eth * -5.6564804e-5 * C_eth,0.0,13.780523615902913
C_eth * C_pg * C_eth * -5.6564804e-5,0.0,0.0
0.11214635 - C_pg * C_eth * -5.6564804e-5,0.0,0.0
inv(C_pg * C_eth) * 50.729774,0.0,9.417815263129619
inv(C_pg * C_eth) * 25.895191,0.0,4.809827749760682e-15
inv(C_pg * C_eth) * 25.895184,0.0,4.3146341200694044e-13
log(inv(1/t)),1.630279204558088,0.0
