rank,size,fitness_total,mse_train_norm,infix
1,18,0.020246,0.00773298,(log(1+exp((Q + Q))) / (log(1+exp(1.3041591448677246)) + log(1+exp(((C2 - ((C1 / C3) - (Q)**2)))**2))))
2,18,0.0204155,0.00744292,(log(1+exp((Q + Q))) / (log(1+exp(1.3394142469784298)) + log(1+exp(((C2 - ((C1 / C3) - (Q)**2)))**2))))
3,19,0.0208091,0.00625218,(log(1+exp((Q + Q))) / ((1.6307750353895227 + C3) + log(1+exp(((C2 - ((C1 / C3) - (Q)**2)))**2))))
4,18,0.0208341,0.00683797,(log(1+exp((Q + Q))) / ((1.4840796999232877)**2 + log(1+exp(((C2 - ((C1 / C3) - (Q)**2)))**2))))
5,18,0.020867,0.00680865,(log(1+exp((Q + Q))) / (log(1+exp((C2 + Q))) + log(1+exp((((C1 / C3) - (Q)**2))**2))))
6,18,0.0211261,0.00706802,(log(1+exp((Q + Q))) / (log(1+exp(((C2 - ((C1 / C3) - (Q)**2)))**2)) + log(1+exp(Q))))
7,18,0.0211261,0.00706802,(log(1+exp((Q + Q))) / (log(1+exp(Q)) + log(1+exp(((C2 - ((C1 / C3) - (Q)**2)))**2))))
8,19,0.0211819,0.00662315,(log(1+exp((Q + Q))) / (((C2 - ((C1 / C3) - (Q)**2)))**2 + log(1+exp((log(1+exp(Q)))**2))))
9,17,0.0212035,0.00764558,(log(1+exp((Q + Q))) / (1.5616763797317872 + log(1+exp(((C2 - ((C1 / C3) - (Q)**2)))**2))))
10,19,0.021229,0.00667022,(log(1+exp((Q + Q))) / (log(1+exp(((C2 - ((C1 / C3) - (Q)**2)))**2)) + log(1+exp((Q)**2))))
11,19,0.021229,0.00667022,(log(1+exp((Q + Q))) / (log(1+exp((Q)**2)) + log(1+exp(((C2 - ((C1 / C3) - (Q)**2)))**2))))
12,20,0.0212407,0.00618192,(log(1+exp((Q + Q))) / ((Q)**2 + log(1+exp(((C2 - ((C1 / C3) - ((Q)**2 + Q))))**2))))
13,19,0.0212866,0.00672787,(log(1+exp((Q + Q))) / ((log(1+exp(Q)))**2 + log(1+exp(((C2 - ((C1 / C3) - (Q)**2)))**2))))
14,19,0.0212949,0.00673655,(log(1+exp((Q + Q))) / (log(1+exp(Q)) + log(1+exp((((C2)**2 - ((C1 / C3) - (Q)**2)))**2))))
15,20,0.021299,0.00624211,(log(1+exp((Q + Q))) / (C3 + (log(1+exp(Q)) + log(1+exp(((C2 - ((C1 / C3) - (Q)**2)))**2)))))
16,20,0.0213824,0.0063253,(log(1+exp((Q + Q))) / (log(1+exp((C3 + Q))) + log(1+exp(((C2 - ((C1 / C3) - (Q)**2)))**2))))
17,20,0.0214231,0.00636432,(log(1+exp((Q + Q))) / log(1+exp((log(1+exp((Q)**2)) + log(1+exp(((C2 - ((C1 / C3) - (Q)**2)))**2))))))
18,19,0.0214407,0.00688285,(log(1+exp((Q + Q))) / (log(1+exp((1.5520441127803433)**2)) + log(1+exp(((C2 - ((C1 / C3) - (Q)**2)))**2))))
19,19,0.0214658,0.00690676,(log(1+exp((Q + Q))) / (log(1+exp(Q)) + log(1+exp(((C2 - (((C1 / C3))**2 - (Q)**2)))**2))))
20,19,0.0214823,0.00685808,(log(1+exp((Q + Q))) / (log(1+exp((-1.5499529943896417)**2)) + log(1+exp(((C2 - ((C1 / C3) - (Q)**2)))**2))))
