rank,size,fitness_total,mse_train_norm,infix
1,18,0.0328004,0.0177434,(log(1+exp(log(1+exp(Q)))) / log(1+exp(((C2 - ((C2 + C3) - ((Q)**2 + (C1 * C2)))))**2)))
2,18,0.0328004,0.0177434,(log(1+exp(log(1+exp(Q)))) / log(1+exp((((C2 + (C2 + C3)) - ((Q)**2 + (C1 * C2))))**2)))
3,16,0.0344115,0.0203537,(log(1+exp(log(1+exp(Q)))) / log(1+exp((((C2 + C3) - ((Q)**2 + (C1 * C2))))**2)))
4,22,0.034645,0.0209444,(log(1+exp(log(1+exp(Q)))) / log(1+exp((((C3 * C2) - (((C2 + C3) - ((Q)**2 + -0.12910936079174612)) + (C1 * C3))))**2)))
5,20,0.0346822,0.0186248,(log(1+exp(log(1+exp(Q)))) / log(1+exp((((C3 * C2) - (((C2 + C3) - (Q)**2) + (C1 * C3))))**2)))
6,20,0.0348079,0.0187505,(log(1+exp(log(1+exp(Q)))) / log(1+exp((((C3 * C2) - ((C2 + C3) - ((Q)**2 + (C1 * C2)))))**2)))
7,15,0.0350667,0.0215065,(log(1+exp(log(1+exp(Q)))) / log(1+exp(((((Q)**2 - log(1+exp((C2 + C3)))) - C1))**2)))
8,17,0.035129,0.0205717,(log(1+exp(log(1+exp(Q)))) / log(1+exp(((log(1+exp(C3)) - ((C2 - (Q)**2) + (C1 * C2))))**2)))
9,18,0.0351449,0.0200871,(log(1+exp(log(1+exp(Q)))) / log(1+exp(((C2 - (((C2 + C3) - (Q)**2) + (C1 * C3))))**2)))
10,17,0.0352371,0.0212731,(log(1+exp(Q)) / log(1+exp(((log(1+exp(C3)) - log(1+exp((C1 + C3)))) - ((C2 - (Q)**2))**2))))
11,23,0.0353004,0.0177434,(log(1+exp(log(1+exp(Q)))) / log(1+exp(((C2 - (((C2 + C3) - ((Q)**2 + ((Q - Q))**2)) + (C1 * C2))))**2)))
12,19,0.0354473,0.0198911,(log(1+exp(log(1+exp(Q)))) / log(1+exp((((((C2 + C3) - (Q)**2) - log(1+exp((C2 + C3)))) - C1))**2)))
13,19,0.0359106,0.021348,(log(1+exp(Q)) / log(1+exp(((log(1+exp(C3)) - log(1+exp((C1 + C3)))) - (((C2 + C3) - (Q)**2))**2))))
14,17,0.0359808,0.0249982,(log(1+exp(Q)) / log(1+exp(((C1 * C2) - ((((1.9537784400545204 + C2) + C3) - (Q)**2))**2))))
15,19,0.03599,0.0204332,(log(1+exp(log(1+exp(Q)))) / log(1+exp(((log(1+exp(C3)) - (((C2 + C3) - (Q)**2) + (C1 * C3))))**2)))
16,19,0.03599,0.0204332,(log(1+exp(log(1+exp(Q)))) / log(1+exp(((C2 - (((log(1+exp(C3)) + C3) - (Q)**2) + (C1 * C3))))**2)))
17,22,0.0360061,0.0189484,(log(1+exp(log(1+exp(Q)))) / log(1+exp(((C2 - (((C2 + C3) - ((Q)**2 + (C1 * C2))) + (C1 * C2))))**2)))
18,21,0.0360082,0.0202037,(log(1+exp(Q)) / log(1+exp(((log(1+exp(C3)) - log(1+exp((C1 + C3)))) - ((C2 - ((Q)**2 + (C1 * C2))))**2))))
19,18,0.0360427,0.0213613,(log(1+exp(Q)) / log(1+exp((((log(1+exp(C3)) - log(1+exp((C1 + C3)))))**2 - ((C2 - (Q)**2))**2))))
20,23,0.036151,0.0185941,(log(1+exp(log(1+exp(Q)))) / log(1+exp(((log(1+exp(C3)) - (((C2 + C3) - ((Q)**2 + (C1 * C2))) + (C1 * C3))))**2)))
