,MI,Lasso
C_pol,0.0,0.0
C_eth,0.0,0.0
C_pg,0.0,0.0
t,1.652151877316294,46.31232563070939
sqrt(t),1.6479049322888564,0.0
log(t),1.6361820237533058,0.0
1/t,1.6160347329328717,0.0
exp(-t),1.2652992698327832,0.0
1-exp(-t),1.2661552659594972,0.0
C_pg * C_eth,0.0,5.269605303544007
C_pg * C_pol,0.0,0.0
C_eth * C_pol,0.0,0.0
C_pg / C_pol,0.0,0.0
C_pg / C_eth,0.0,1.7044719589107447
C_eth / C_pol,0.0,0.0
C_pg^2,0.0,0.0
C_eth^2,0.0,0.0
C_pol^2,0.0,0.0
C_pg * log(t),1.1668105963056856,0.0
C_pg * log(t),1.1453115804969052,0.0
C_eth * log(t),1.3493315804736445,0.0
C_pg * log(t),1.2659550777937696,0.0
C_eth * t,1.4006085951290124,0.0
C_pg * t,1.3913700424893665,5.390670322783805
t - sqrt(t),1.652151877316294,52.593458069491035
sqrt(C_pg / C_eth),0.0,0.0
log(C_pg / C_eth),0.0,0.0
inv(C_pg / C_eth),0.0,0.0
sqrt(C_pg * C_eth),0.0,0.0
