complexity,loss,equation,score,sympy_format,lambda_format,restored_equation
1,11697.472,111.33672,0.0,111.336720000000,PySRFunction(X=>111.336720000000),111.33672
2,3919.7722,exp(x6),1.0933392102126165,exp(x6),PySRFunction(X=>exp(x6)),exp((sqrt(t)))
3,510.42664,x7 * 11.911777,2.038541893825159,x7*11.911777,PySRFunction(X=>x7*11.911777),(t - sqrt(t)) * 11.911777
5,476.09128,(x10 - -10.849589) * x7,0.0348186622365337,x7*(x10 - 1*(-10.849589)),PySRFunction(X=>x7*(x10 - 1*(-10.849589))),((C_pg / C_eth) - -10.849589) * (t - sqrt(t))
7,409.0079,(14.450723 - (x9 * 0.011287377)) * x7,0.0759375646465583,x7*(14.450723 - 0.011287377*x9),PySRFunction(X=>x7*(14.450723 - 0.011287377*x9)),(14.450723 - ((C_pg * C_eth) * 0.011287377)) * (t - sqrt(t))
8,389.6618,(13.305284 - square(x9 * 0.0050163725)) * x7,0.0484552878408181,x7*(13.305284 - 2.51639930587562e-5*x9**2),PySRFunction(X=>x7*(13.305284 - 2.51639930587562e-5*x9**2)),(13.305284 - square((C_pg * C_eth) * 0.0050163725)) * (t - sqrt(t))
9,381.0561,x7 * ((x10 + 13.3067045) - (x9 * 0.010923693)),0.0223325750370251,x7*(x10 - 0.010923693*x9 + 13.3067045),PySRFunction(X=>x7*(x10 - 0.010923693*x9 + 13.3067045)),(t - sqrt(t)) * (((C_pg / C_eth) + 13.3067045) - ((C_pg * C_eth) * 0.010923693))
10,362.18982,(x10 + (12.2008915 - square(x9 * 0.0049364003))) * x7,0.0507781693462841,x7*(x10 - 2.43680479218401e-5*x9**2 + 12.2008915),PySRFunction(X=>x7*(x10 - 2.43680479218401e-5*x9**2 + 12.2008915)),((C_pg / C_eth) + (12.2008915 - square((C_pg * C_eth) * 0.0049364003))) * (t - sqrt(t))
12,348.8461,(((inv(x9) * -954.5851) + 23.84913) - (x9 * 0.032220982)) * x7,0.0187687941514427,x7*(-0.032220982*x9 + 23.84913 - 954.5851/x9),PySRFunction(X=>x7*(-0.032220982*x9 + 23.84913 - 954.5851/x9)),(((inv((C_pg * C_eth)) * -954.5851) + 23.84913) - ((C_pg * C_eth) * 0.032220982)) * (t - sqrt(t))
13,306.40546,(9.154417 - (((-0.11229318 / (0.9962592 - x10)) - 45.16008) / x14)) * x7,0.1297215931816649,x7*(9.154417 - (-1*45.16008 - 0.11229318/(0.9962592 - x10))/x14),PySRFunction(X=>x7*(9.154417 - (-1*45.16008 - 0.11229318/(0.9962592 - x10))/x14)),(9.154417 - (((-0.11229318 / (0.9962592 - (C_pg / C_eth))) - 45.16008) / (C_eth))) * (t - sqrt(t))
14,305.55338,x7 * (9.154417 - (((-0.112293124 / (0.9962471 - square(x10))) - 45.16008) / x14)),0.0027847642519564,x7*(9.154417 - (-1*45.16008 - 0.112293124/(0.9962471 - x10**2))/x14),PySRFunction(X=>x7*(9.154417 - (-1*45.16008 - 0.112293124/(0.9962471 - x10**2))/x14)),(t - sqrt(t)) * (9.154417 - (((-0.112293124 / (0.9962471 - square((C_pg / C_eth)))) - 45.16008) / (C_eth)))
15,304.65775,((9.154417 - (((-0.11229321 / (0.99638855 - x10)) - 45.16008) / x14)) * x7) + 1.340023,0.0029354778997202,x7*(9.154417 - (-1*45.16008 - 0.11229321/(0.99638855 - x10))/x14) + 1.340023,PySRFunction(X=>x7*(9.154417 - (-1*45.16008 - 0.11229321/(0.99638855 - x10))/x14) + 1.340023),((9.154417 - (((-0.11229321 / (0.99638855 - (C_pg / C_eth))) - 45.16008) / (C_eth))) * (t - sqrt(t))) + 1.340023
16,303.12494,((9.154417 - (((-0.1122932 / (0.9963446 - x10)) - 45.16008) / x14)) * x7) + inv(x10),0.0050439516457464,x7*(9.154417 - (-1*45.16008 - 0.1122932/(0.9963446 - x10))/x14) + 1/x10,PySRFunction(X=>x7*(9.154417 - (-1*45.16008 - 0.1122932/(0.9963446 - x10))/x14) + 1/x10),((9.154417 - (((-0.1122932 / (0.9963446 - (C_pg / C_eth))) - 45.16008) / (C_eth))) * (t - sqrt(t))) + inv((C_pg / C_eth))
