Variable,Index
C_eth,0
log(t) * 2.233255,1
t,2
sqrt(t),3
C_pg,4
C_eth * t,5
C_pg * log(t) * -0.24116583,6
C_pg * C_eth,7
log(t),8
C_pg / C_eth,9
C_pol,10
C_pg * t,11
C_pg * log(t),12
1-exp(-t),13
C_eth * log(t),14
log(t) * 2.233255 + 1-exp(-t),15
exp(-t),16
1/t,17
t - sqrt(t),18
t^2,19
