,MI,Lasso
C_pol,0.0,0.0
C_eth,0.0,0.0
C_pg,0.0,0.0
t,1.652151877316294,68.8501918301428
sqrt(t),1.647105690450768,0.0
log(t),1.6343454247924778,0.0
1/t,1.6062503305118287,0.0
exp(-t),1.2661670816047408,0.0
1-exp(-t),1.2659159309856427,0.0
t^2,1.6493388886739904,13.353349024887606
C_pg * C_eth,0.0,4.918620240881345
C_pg * C_pol,0.0,0.0
C_eth * C_pol,0.0,0.0
C_pg / C_pol,0.0,0.0
C_pg / C_eth,0.0,1.3526270674073517
C_eth / C_pol,0.0,0.0
C_pg^2,0.0,0.0
C_eth^2,0.0,0.0
C_pol^2,0.0,0.0
C_pg * log(t),1.1687706103723237,0.0
C_pg * log(t),1.138325297315824,0.0
C_eth * log(t),1.3488154238846461,0.0
C_pg * log(t),1.2725123968939074,0.0
C_eth * t,1.390022984672307,0.0
C_pg * t,1.399157132347499,5.493282161593834
t - sqrt(t),1.652151877316294,16.352531455559916
log(C_pg / C_eth),0.0,0.0
C_pg / C_eth * C_pg,0.0,0.0
